Artista,Reproducciones,Oyentes,Biografía,Artistas Similares
Suie Paparude,611433,28333,"Șuie Paparude meaning:
Mihai Câmpineanu (Michi) 
Mihai Dobre (Haute Culture) 
Alexe Marius Andrei  (Bean) 

Discography:
1995 Șuie Paparude
1997 Salvează-te
1998 Musca
2000 Urban
2003 Atac la Persoane
2005 Scandalos
2008 A fost odată
2010 E suflet în aparat
2018 Șuie Paparude

Newborn autumn of ’93, Suie Paparude was originally a five-piece alternative rock band that split one year later. The remains were the two Ms: Mihai Campineanu and Mihai Dobre – the band’s everlasting core. <a href=""https://www.last.fm/music/Suie+Paparude"">Read more on Last.fm</a>","Omul cu Sobolani, E.M.I.L., Subcarpati, Vama Veche, Travka"
Florencia Núñez,19997,1630," <a href=""https://www.last.fm/music/Florencia+N%C3%BA%C3%B1ez"">Read more on Last.fm</a>","Papina De Palma, Niña Lobo, Milongas Extremas, Rossana Taddei, Socio"
Ra Ra Viper,155999,13513," <a href=""https://www.last.fm/music/Ra+Ra+Viper"">Read more on Last.fm</a>","Fool Nelson, Dear Sunday, Seaweed on Sticks, South Summit, Loose Bricks"
Aslan,324448,40906,"There are several artists and bands with the name 'Aslan':
1.  a rock band from Ireland.
2.  a progressive British folk band from England. 
3.  the first incarnation of the band Psychotic Waltz. 
4.  the Kurdish singer Hozan Aslan (means 'Singer Aslan').
5.  the Kurdish artist Mikail Aslan.
6.  the Kurdish musician Ahmet Aslan. 

1) The first is Aslan, is a a rock band from Dublin, Ireland. Formed in the mid-late 80's. The band features Christy Dignam (Vocals) <a href=""https://www.last.fm/music/Aslan"">Read more on Last.fm</a>","Luke Kelly, The Saw Doctors, Christy Moore, Bell X1, The Dubliners"
GROUPLOVE,32852990,1906679,"Grouplove are an alternative rock band which formed in 2009 in Los Angeles, California, United States. 

The band consists of Christian Zucconi (vocals, guitar), Hannah Hooper (vocals, keyboards), Andrew Wessen (vocals, guitar), Sean Gadd (bass, vocals), and Ryan Rabin (drums). The band released their debut album, Never Trust a Happy Song, in September 2011, which was followed by Spreading Rumours, released September 2013. Both albums were produced by the band's drummer Ryan Rabin <a href=""https://www.last.fm/music/Grouplove"">Read more on Last.fm</a>","Cold War Kids, Atlas Genius, Foster the People, Sir Sly, Matt & Kim"
Mr.Children,10317023,111101,"Mr.Children or Misuchiru as they are known to their fans is a famous Japanese pop/rock group formed in 1989 by Kazutoshi Sakurai, Kenichi Tahara, Keisuke Nakagawa, and Hideya Suzuki.

Mr.Children is one of the most popular bands in Japan. They made their major debut in 1992 with the release of their first album, ""EVERYTHING"", but it wasn't until one of their singles was used as a drama theme song, like their fourth single ""Cross Road"", that they started getting noticed. <a href=""https://www.last.fm/music/Mr.Children"">Read more on Last.fm</a>","スピッツ, My Little Lover, B'z, 福山雅治, DREAMS COME TRUE"
Bajaga & Instruktori,542922,20177,"Bajaga & Instruktori (trans. Bajaga and the Instructors) are a Serbian and former Yugoslav rock band founded in Belgrade in 1984 by composer, lyricist and guitarist Momčilo Bajagić ""Bajaga"" (born in Bjelovar, Croatia, February 19, 1960) .
From 1978 to 1984 Bajaga was a guitarist and songwriter in a rock band Riblja Čorba. In 1984, while still in Riblja Čorba, Bajaga released his first solo album Pozitivna Geografija. The same year he left Riblja Čorba and formed his own band under the name Bajaga & Instruktori. <a href=""https://www.last.fm/music/Bajaga+&+Instruktori"">Read more on Last.fm</a>","Bijelo Dugme, Plavi Orkestar, Đorđe Balašević, Crvena Jabuka, Van Gogh"
Sasha Boole,114697,6623,"Sasha Boole - folk-singer, songwriter and performer of the blues, country, folk and ragtimes. Plays the guitar, harmonica and banjo. Intended to sell his soul to the devil in exchange for a tremendous success and global domination, but it didn't work out quite well. That is why he was obliged to achieve everything by himself. They say, his moustache has magic features. It is not clear which ones yet, but they definately have something to do with voodoo magic. <a href=""https://www.last.fm/music/Sasha+Boole"">Read more on Last.fm</a>","Zwyntar, Харцизи, Rohata Zhaba, ПИРЯТИН, Тарас Чубай"
Goran Karan,120597,12864,"
 


Goran Karan was born on April 2, 1964. In the beginning of the 80's, Goran started his career as a musician in various bands such as ""Epicentar"", ""Deveti krug"", ""Zippo"" and ""Big Blue"".

In 1995, as a frontman of the band called ""Big Blue"", Goran received an award for the rock hit of the year for the song ""Priznaj mi"". Later in the same year, Goran was given the lead role in the musical ""Sarajevski krug"" (The Sarajevo circle). Album from the musical   and the Big Blue's debut album were released both in Croatian and English. <a href=""https://www.last.fm/music/Goran+Karan"">Read more on Last.fm</a>","Giuliano, Danijela, Ivana Banfić, Jasna Zlokic, Meri Cetinic"
Олег Скрипка,72420,6459,"Oleg Skrypka is a leader of Ukrainian rock band Vopli Vidoplyasova. He plays rock, ethno. <a href=""https://www.last.fm/music/+noredirect/%D0%9E%D0%BB%D0%B5%D0%B3+%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D0%BA%D0%B0"">Read more on Last.fm</a>","Воплi Вiдоплясова, Гайдамаки, Мандри, Vоплі Vідоплясова, Плач Єремії"
Fun Mode,1027374,13327,"Russian based alt-rock band from Tver, writing song mainly about World of Warcraft but not only.


Русская группа из Твери, пишет песни про Варкрафт, но уже не только про него.


Дискография:
2017 - «Небо над барренсом»
2020 - «В бездну»

Website -> https://funmode.ru

VK group -> https://vk.com/fun_m0de

Support on patreon -> https://www.patreon.com/funmode <a href=""https://www.last.fm/music/Fun+Mode"">Read more on Last.fm</a>","PEACE DAYS, LaScala, Е2 Знакомы, Louna, Cosmocats"
Лівінстон,61714,4162," <a href=""https://www.last.fm/music/%D0%9B%D1%96%D0%B2%D1%96%D0%BD%D1%81%D1%82%D0%BE%D0%BD"">Read more on Last.fm</a>","Promsonya, Zhadan i Sobaky, dity inzheneriv, Ігор Кайдаш, Odyn v kanoe"
Saurom,1393638,34587,"Saurom is the new name of Spanish folk/power metal band Saurom Lamderth.

Saurom's music often includes the use of instruments such as bagpipes, flutes and other instruments often associated with folk music. All of their lyrics are performed in Spanish. <a href=""https://www.last.fm/music/Saurom"">Read more on Last.fm</a>","Warcry, Tierra Santa, Saratoga, Mägo de Oz, Avalanch"
Loathe,26786462,586705,"Loathe is an English alternative metal band from Liverpool, England. Formed in 2014, the group consists of lead vocalist Kadeem France, guitarist and second vocalist Erik Bickerstaffe, drummer Sean Radcliffe and bassist Feisal El-Khazragi. They are signed to SharpTone Records and have released two EPs and three studio albums. Prepare Consume Proceed was released in 2015 and was re-issued in 2016 through SharpTone Records as the label's first release. <a href=""https://www.last.fm/music/Loathe"">Read more on Last.fm</a>","Thornhill, Static Dress, Blanket, Moodring, Fleshwater"
Lamb of God,67372316,1292745,"Lamb of God is an American groove metal band, originally formed under the name Burn the Priest.

The roots of Lamb of God were planted in the year 1990, when Mark Morton, Chris Adler and John Campbell were friends at Virginia Commonwealth University. The trio began playing at Adler's house in Richmond weathering chilly conditions. ""There was no heat in the house,"" recalls Campbell. ""We would hang around the kerosene heaters, get really drunk and write metal songs. Fumes and Black Label beer were definitely what fueled our early days."" <a href=""https://www.last.fm/music/Lamb+of+God"">Read more on Last.fm</a>","Burn the Priest, DevilDriver, Machine Head, Chimaira, Killer Be Killed"
DOWN,14806542,368308,"Down is an American southern stoner metal/southern metal band formed in 1991 in New Orleans, Louisiana, USA. The band is a supergroup, comprising current and former members of Pantera, Corrosion of Conformity, Crowbar, Superjoint Ritual, Eyehategod and Kingdom of Sorrow. Since its inception, Down has released three studio albums and has gone on hiatus twice to focus on the members' respective bands.

Down formed in 1991 with vocalist/songwriter Phil Anselmo of Pantera <a href=""https://www.last.fm/music/Down"">Read more on Last.fm</a>","Superjoint Ritual, Corrosion of Conformity, Crowbar, Black Label Society, Orange Goblin"
Def Con Dos,788916,28303,"Def Con Dos or DCD (Spanish for Def Con Two) is a metal rap band from Madrid, Spain.

Greatly influenced by hip hop bands Beastie Boys, Public Enemy, and Run D.M.C., and rock band Siniestro Total, they started rapping over hip hop bases created by producer Julián Hernández (musician and singer of Siniestro Total). In their Segundo Asalto tape (1989), the sound still was basically hip hop, but they started using rock guitars. Since Armas pal pueblo, the sound has been evolving into rap metal, with touches of techno and nu metal. <a href=""https://www.last.fm/music/Def+con+Dos"">Read more on Last.fm</a>","Narco, Sôber, Hora Zulu, Riot Propaganda, Habeas Corpus"
Polaris,14778926,398806,"There are numerous bands named Polaris.
1. An alt metal/djent band from Australia
2. An indie rock band from the United States
3. A punk band from England
4. A rock band from Japan
5. A DJ and producer from France
6. An electronic project from Poland
7. a post-hardcore band from the United Kingdom
8. an indie rock band from Argentina
9. A power metal band from France
10. A techno band from Spain
11. A project of musician Neil Sutherland
12. A thrash metal band from Brazil <a href=""https://www.last.fm/music/Polaris"">Read more on Last.fm</a>","Currents, Silent Planet, Invent Animate, Alpha Wolf, ERRA"
Leize,58182,3598," <a href=""https://www.last.fm/music/Leize"">Read more on Last.fm</a>","Sobredosis, Obus, Sherpa, Ñu, Sangre Azul"
SiM,9576933,361922,"There are several artists that go by the name Sim:

1) SiM is a japanese alternative metal band with SKA and punk influences.
2) Sim is a japanese abstract/experimental electronic rock act.
3) Sim (Simon Jacques Eugène Berryer) was a French humorist, writer and comedian.
4) Sim was a punk band from Finland.
5)  Sim lives in Skaistgirys. The school was a DJ. One of the three members of the group “Lostra Crew”.
6) Sim (Siimo Raba) comes from Estonia although for the past 6 years he's been based in London <a href=""https://www.last.fm/music/Sim"">Read more on Last.fm</a>","Linked Horizon, coldrain, Survive Said The Prophet, Fear, and Loathing in Las Vegas, Maximum the Hormone"
Malevolence,1925779,87389,"There is more than one band named Malevolence:

1) A groove metal/metalcore band from Sheffield, England.
2) A New Zealand death metal/grindcore band formed in 1992.
3) A Portuguese black/death metal band from Leiria.
4) A Canadian thrash/death metal band formed in 1990.
5) A Dutch deathcore band formed in 2006.
6) A hardcore/metal outfit from Pittsburgh, PA
 
1) Sheffield Shred
https://www.facebook.com/MalevolenceRiff/

2) Malevolence is one of New Zealand’s longest standing purveyors of Metal and Grind. <a href=""https://www.last.fm/music/Malevolence"">Read more on Last.fm</a>","Guilt Trip, Desolated, Nasty, X-Ile, Bleed from Within"
Kreator,33557819,594920,"Kreator is a german thrash metal band from Essen (NRW), Germany. Originally started off under as Metal Militia, then as Tyrant and later as Tormentor before permanently deciding for Kreator in 1982. Initially playing a thrash metal with Venom influences, their style of music is similar to that of their compatriots Destruction and Sodom, which are considered the other two big teutonic thrash metal bands from Germany. All three of these bands are often credited with helping create the death metal subgenre. <a href=""https://www.last.fm/music/Kreator"">Read more on Last.fm</a>","Sodom, Destruction, Testament, Exodus, Overkill"
The Ghost Inside,15780420,330236,"The Ghost Inside, formerly known as A Dying Dream, is an American metalcore band from Los Angeles, California, formed in 2004. The band currently consists of vocalist Jonathan Vigil, guitarists Zach Johnson and Chris Davis, and drummer Andrew Tkaczyk. They have released one EP and four studio albums, with their latest, The Ghost Inside, released in June 2020 through Epitaph Records and peaking at number 141 on the US Billboard 200 chart.

Discography:  <a href=""https://www.last.fm/music/The+Ghost+Inside"">Read more on Last.fm</a>","Stick to Your Guns, In Hearts Wake, Bury Tomorrow, Parkway Drive, Fit For A King"
Sylosis,6691033,175826,"Sylosis is a British metalcore band, from Reading, Berkshire formed in 2000. They have used various genres in their music over the years, previously basing their sound on 1980s thrash metal crossed with modern styles of music like melodic death metal and metalcore, blending the genres seamlessly into one coherent and unique sound. With their 2023 LP, ""A Sign of Things to Come,"" and the singles preceding it (Worship Decay; Immovable Stone; Heavy is the Crown) <a href=""https://www.last.fm/music/Sylosis"">Read more on Last.fm</a>","Bleed from Within, Revocation, Unearth, Trivium, Darkest Hour"
Deep Purple,69273162,2679396,"Deep Purple is an English rock band formed in London, in 1968. They are considered to be among the pioneers of heavy metal and modern hard rock but their musical approach has changed over the years.Originally formed as a psychedelic rock and progressive rock band, they shifted to a heavier sound with their 1970 album Deep Purple in Rock. Deep Purple (together with Led Zeppelin and Black Sabbath) have been referred to as the ""unholy trinity"" of British hard rock and heavy metal in the early to mid-seventies. <a href=""https://www.last.fm/music/Deep+Purple"">Read more on Last.fm</a>","Rainbow, Uriah Heep, UFO, Whitesnake, Nazareth"
Emmure,21015003,468732,"Emmure is an American band formed in 2003. Originally based in New Fairfield, Connecticut, but now residing in Queens, New York.

Musically playing mainly a mix of nu metal, djent and metalcore. Lyrical topics that Emmure touches upon usually focus on breakups, murder, social indifference, sexual deviance, philosophy, and religion. Many of the band's songs contain references to video games and comic books, particularly from Street Fighter and Marvel Comics, of which vocalist Frankie Palmeri is an avid fan. <a href=""https://www.last.fm/music/Emmure"">Read more on Last.fm</a>","Alpha Wolf, Chelsea Grin, Thy Art Is Murder, The Acacia Strain, Attila"
Kingdom Of Giants,3198661,102966,"Kingdom of Giants (known as Hello Sailor until 2011) is a metalcore band from California Bay. The band consists of Dana Willax (Vocals/Engineering), Stephen Rezza (Vocals/Keys/Engineering), Stephen Martin (Guitar), Max Bremer (Guitar), Levi Norris (Bass) and Truman Berlin (Drums). Their first EP Abominable was recently released on Jan 25, 2011. <a href=""https://www.last.fm/music/Kingdom+of+Giants"">Read more on Last.fm</a>","Currents, Like Moths to Flames, Hollow Front, Fit For A King, Polaris"
Suicide Silence,25661330,590131,"Suicide Silence is an American deathcore band from Riverside, California. The band was established in 2002, and has released six studio albums, three EPs, and nineteen music videos. They were awarded the Revolver Golden God award for ""Best New Talent"" in 2009. The group currently consists of guitarists Chris Garza and Mark Heylmun, bassist Dan Kenny, vocalist Hernan ""Eddie"" Hermida and drummer Ernie Iniguez.

History
Formation, demos and self-titled debut EP (2002–2006) <a href=""https://www.last.fm/music/Suicide+Silence"">Read more on Last.fm</a>","Chelsea Grin, Whitechapel, Carnifex, Thy Art Is Murder, Despised Icon"
Dan Vasc,410221,32928,"Daniel Vasconcelos (born: October 13, 1989 [age 31]), better known professionally and on YouTube as Dan Vasc, is a Brazilian heavy metal singer and songwriter. He's a part of the heavy metal band Fearless, with whom he's released one studio album so far, Chronicles of Ancient Wisdom, (2019), as well as one EP before that, Ancient Wisdom, both of which being released independently. On YouTube, he's known for doing covers of various songs, either of bands that are already metal <a href=""https://www.last.fm/music/Dan+Vasc"">Read more on Last.fm</a>","Beast in Black, Orion's Reign, Freedom Call, Warkings, Victorius"
Myrkur,5693376,153831,"There are two artists under the name Myrkur;

1) Myrkur is a multi-genred musical project of Danish musician Amalie Bruun that evolved from black metal to dark folk music. Initially, the real-life identity of the person behind the project was kept unknown, however her identity has since been made public. Myrkur has released three full-length studio albums to significant critical acclaim, as well as a live album and one EP. Her most recent album, Folkesange, was released on 20 March 2020 through Relapse Records. <a href=""https://www.last.fm/music/Myrkur"">Read more on Last.fm</a>","Saor, Blackbraid, Borknagar, Alcest, Wolves in the Throne Room"
Sixx:A.M.,9020778,343944,"Sixx:A.M. is a hard rock band from Los Angeles, California, formed in 2007 by Mötley Crüe bassist, Nikki Sixx, DJ Ashba (Guns N' Roses), and James Michael. The group is best known for their song ""Life Is Beautiful"". The band released The Heroin Diaries Soundtrack in 2007, which is based upon Sixx's autobiography, The Heroin Diaries. They released their sophomore effort This Is Gonna Hurt based off of Nikki's second autobiographical book of the same name on May 3, 2011.  <a href=""https://www.last.fm/music/Sixx:A.M."">Read more on Last.fm</a>","Pop Evil, Shinedown, Shaman's Harvest, Adelitas Way, Art of Dying"
Volturian,270970,17349,"Volturian is a new Modern Metal project founded by singer Federica Lanna (Sleeping Romance) and songwriter Federico Mondelli (Frozen Crown). Drawing heavy inspiration from 90’s and early 2000 Metal as well as 80’s Pop music, the talented frontwoman and the prolific composer join forces, creating a unique brand of melody and heaviness mixed with strong electronic elements.

Lanna’s ethereal and mellow vocals flow graciously between catchy choruses and breathtaking verses <a href=""https://www.last.fm/music/Volturian"">Read more on Last.fm</a>","Moonlight Haze, Metalite, Nocturna, Kalidia, Follow the Cipher"
Silverstein,42964811,972742,"Silverstein is a post-hardcore band from Burlington, Ontario, Canada; formed in 2000. The band name was taken from the famous children's author Shel Silverstein.

After several lineup changes, the band acquired Billy Hamilton, a local fan who learned of the band's need for a bassist on the Internet message board ""The 905 Board"" (an Ontario area outreach board which used to be for local musicians). In Christmas of 2001, he joined the band after Shane Told helped him learn the music for the songs. <a href=""https://www.last.fm/music/Silverstein"">Read more on Last.fm</a>","Senses Fail, Hawthorne Heights, Saosin, A Skylit Drive, Chiodos"
