Artista,Reproducciones,Oyentes,Biografía,Artistas Similares
Nonpoint,9819685,609024,"Nonpoint are a nu metal band from Fort Lauderdale, Florida, formed in January 1998 by vocalist Elias Soriano, bassist Kenneth ""KB"" Charman and drummer Robb Rivera.

     The band created a name for itself in the burgeoning South Florida metal scene of the mid-late '90s. Other notable bands to emerge included Puya, Endo, Darwin's Waiting Room, Lost and The Groovenics.

Nonpoint's first album Separate Yourself was released independently in 1998. The band's first commercially released album Struggle was released on May 18 <a href=""https://www.last.fm/music/Nonpoint"">Read more on Last.fm</a>","Soil, Sevendust, Flaw, Taproot, Saliva"
Patient Sixty-Seven,323805,33509,"What started as an idea between vocalist Tom Kiely and guitarist Dylan Bond in their parents garage, has grown into an idea beyond their own expectation.

With no real prior experience in the music industry, no connections and no idea of what to expect - the pair pitted their own ideas together to form Patient Sixty-Seven. With the ultimate hunger to create heavy music with meaning, the band officially formed in early 2015 shortly after releasing <a href=""https://www.last.fm/music/Patient+Sixty-Seven"">Read more on Last.fm</a>","Saving Vice, Set for Tomorrow, Like Moths to Flames, If I Were You, If Not for Me"
Evanescence,147809316,3561780,"Evanescence are a rock band founded in Little Rock, Arkansas, United States in 1995 by singer/pianist Amy Lee and guitarist Ben Moody (who left in 2003). 

After recording private albums, the band signed to Wind-up Records and released their first full-length album, Fallen, in 2003, which sold more than 15 million copies worldwide and helped the band win two Grammy Awards. A year later, they released their first live album, Anywhere But Home, which sold more than one million copies worldwide. <a href=""https://www.last.fm/music/Evanescence"">Read more on Last.fm</a>","Amy Lee, We Are the Fallen, Lacuna Coil, Halestorm, The Pretty Reckless"
Kalidia,235953,18276,"Kalidia is a melodic power band born in 2010 by an idea of Nicoletta Rosellini (Vocals), Federico Paolini (Guitars), Alessandro Cecchini (drums) and Nicola Azzola (keyboards). With the input of bass player Roberto Donati the band soon started to record its first EP “Dance of the Four Winds” (2012) with Alessio Lucatti (Vision Divine, Etherna). The 4 tracks Ep was reviewed by several magazines and webzines, receiving extremely good response from fans all over the world. <a href=""https://www.last.fm/music/Kalidia"">Read more on Last.fm</a>","Moonlight Haze, Volturian, Sleeping Romance, Nocturna, Walk in Darkness"
Bury Tomorrow,12836433,244154,"Bury Tomorrow is a melodic metalcore band from Hampshire, England that formed in 2006. The band is composed of lead vocalist Dani Winter-Bates, rhythm guitarist and singer Jason Cameron, bassist Davyd Winter-Bates, drummer Adam Jackson and lead guitarist Kristan Dawson, who replaced founding guitarist Mehdi Vismara in 2013.  Bury Tomorrow have released two extended plays and four full-length albums. Their most recent album, Earthbound, was released in January 2016 through Nuclear Blast Records. <a href=""https://www.last.fm/music/Bury+Tomorrow"">Read more on Last.fm</a>","Fit For A King, While She Sleeps, Any Given Day, Bleed from Within, Parkway Drive"
Zakk Wylde,3634656,191159,"Jeffery Phillip Wiedlandt (Born January 14, 1967 in Bayonne, New Jersey), better known as Zakk Wylde, was the lead guitarist in Ozzy Osbourne's band and has also found success playing lead guitar in his own band, Black Label Society, who have been a part of the Ozzfest tour many times, having guitarist Nick Catanese on the rhythm section.

Zakk has been voted ""Most Valuable Player"" for three successive years in the ""Guitar World"" (US) magazine polls. <a href=""https://www.last.fm/music/Zakk+Wylde"">Read more on Last.fm</a>","Black Label Society, Pride & Glory, Richie Kotzen, Ozzy Osbourne, Slash"
Crossfaith,4352760,131649,"Crossfaith is a Japanese electronicore/alternative metal band from Osaka that was formed in 2006. The band consists of vocalist Kenta Koie, guitarist Kazuki Takemura, bassist Hiroki Ikegawa, drummer Tatsuya Amano and keyboardist/programmer Terufumi Tamano. They released their third full-length album Apocalyze in Japan on 4th September 2013 through Search And Destroy Records.  It was also released in North America by The End a day earlier. The album was produced by Machine (Lamb of God <a href=""https://www.last.fm/music/Crossfaith"">Read more on Last.fm</a>","coldrain, Crystal Lake, Paledusk, Earthists., Fear, and Loathing in Las Vegas"
Nyu.,318109,41892,"nyu. is a three piece instrumental math rock band from Newcastle, NSW Australia. They unofficially formed in December 2016 but didn't start taking it seriously until 2018 which led to their debut EP ""Flux"". 

nyu. has been a hard to categorise band, not really sounding too much like any one specific genre yet still having a consistent structure and style throughout. They're commonly associated with acts such as Chon, Polyphia, Animals as Leaders and Intervals.  <a href=""https://www.last.fm/music/Nyu."">Read more on Last.fm</a>","Moray Pringle, Thrailkill, CHON, Ichikoro, ichika Nito"
MAXIMUM THE HORMONE,17786171,444996,"Maximum the Hormone is an alternative metal/metalcore band formed in Hachioji, Tokyo in 1997 with the line-up of Daisuke-han (vocals), SUGI (guitar), KEY (bass) and Nao Kawakita (drums). The band played a mixture of metal, hardcore punk and various other forms of music within that framework. After releasing their first album A.S.A. Crew through indies label SkyRecord, SUGI and KEY left the band and the present line-up of Daisuke-han, Maximum the Ryo-kun, Nao and Ue-chan came to be, along with a name change to マキシマム ザ ホルモン. <a href=""https://www.last.fm/music/Maximum+the+Hormone"">Read more on Last.fm</a>","Sim, マキシマム ザ ホルモン, Nightmare, HANABIE., BAND-MAID"
Heidevolk,3960713,130017,"Heidevolk was founded in September 2002, in Arnhem, The Netherlands. However it was originally named Hymir. They create folk-metal with clean vocals. Their music is inspired by nature, mythology, and the history of northwestern-Europe in general, and of the Dutch province of Gelderland in particular.

Heidevolk is a band which distinguishes itself by its unique style that, amongst other things, is a mixture of:

• Bombastic vocals in Dutch;
• Influences from folk music; <a href=""https://www.last.fm/music/Heidevolk"">Read more on Last.fm</a>","Månegarm, Korpiklaani, Svartsot, Wolfchant, Turisas"
Currents,12544613,206439,"1. Currents is an American metalcore band formed in 2011 in Newtown, Connecticut in 2011 by former drummer Jeff Brown. After numerous line-up changes, they consist of singer Brian Wille, guitarists Ryan Castaldi and Chris Wiseman, bassist and backing vocalist Christian Pulgarin, and drummer Matt Young. Since 2018, no original members remain with the band. 

The band formed as We Came As Plague in 2009. They reformed as Currents and added Patrizio Arpaia on vocals to bring the band full circle.  <a href=""https://www.last.fm/music/Currents"">Read more on Last.fm</a>","Polaris, Invent Animate, Kingdom of Giants, Silent Planet, Like Moths to Flames"
Riot V,178999,10019,"Following the death of Mark Reale (Riot founder, guitarist and main songwriter) in 2012, the New York City heavy metal band Riot decided to continue with making music, however, under another name. The band's name was changed to Riot V. 
Their first album with new material Unleash the Fire was released in Japan in August 2014 (still under the name Riot) and in Europe and the US in late October 2014 (as Riot V - Unleash the Fire).  
On April 27th 2018 the new album Armor of Light was released worldwide. <a href=""https://www.last.fm/music/Riot+V"">Read more on Last.fm</a>","Riot, Roadwolf, Warlord, Praying Mantis, White Wizzard"
Scorpions,71483900,2386519,"Scorpions are a German rock/heavy metal band formed in Hanover in 1965 by guitarist Rudolf Schenker. Since the band's inception, its musical style has ranged from hard rock, heavy metal and glam metal to soft rock. The lineup from 1978 to 1992 was the most successful incarnation of the group, and included Klaus Meine (vocals), Rudolf Schenker (rhythm guitar), Matthias Jabs (lead guitar), Francis Buchholz (bass), and Herman Rarebell (drums). The band's only continuous member has been Schenker <a href=""https://www.last.fm/music/Scorpions"">Read more on Last.fm</a>","Whitesnake, UFO, Rainbow, Uriah Heep, Europe"
Papa Roach,103504663,3200093,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>","P.O.D., Shinedown, Three Days Grace, Seether, Saint Asonia"
Alice In Chains,154093593,2862006,"Alice in Chains is an American grunge/ alternative metal band from Seattle, Washington, formed in 1987 by guitarist/vocalist Jerry Cantrell and drummer Sean Kinney, who then recruited bassist Mike Starr and lead vocalist Layne Staley. Starr was replaced by Mike Inez in 1993. William DuVall joined the band in 2006 as co-lead vocalist and rhythm guitarist, replacing Staley, who died in 2002. The band took its name from Staley's previous group, the glam metal band Alice N' Chains. <a href=""https://www.last.fm/music/Alice+in+Chains"">Read more on Last.fm</a>","Mad Season, Soundgarden, Jerry Cantrell, Stone Temple Pilots, Temple of the Dog"
Crystal Ball,367420,27212,"Crystal Ball is a Swiss hard rock-Band, formed 1995 in Lucerne.

Studio albums
In the Beginning (1999) 
Hard Impact (2000)
Virtual Empire	 (2002)
Hellvetia (2003)
Time Walker (2005)
Secrets (2007)
Dawnbreaker (2013)
Liferider (2015) <a href=""https://www.last.fm/music/Crystal+Ball"">Read more on Last.fm</a>","Shakra, Wolfpakk, J.R. Blackmore, Burning Point, Silvertrain"
Frozen Crown,510931,22888,"Frozen Crown is a new female fronted Melodic Power Metal band infused with classic heavy metal vibes and themes.

 Frozen Crown is an Italian power metal band formed 2017 in Milan, Lombardy. In 2018, their debut album, 'The Fallen King', garnered considerable media exposure. Four tracks from the album were also released as singles, notably Kings, which has around four million views on YouTube. The band's second album,  'Crowned In Frost', was released in 2019. <a href=""https://www.last.fm/music/Frozen+Crown"">Read more on Last.fm</a>","Nocturna, Metalite, Ad Infinitum, Volturian, Temperance"
Subsignal,847046,48728,"Subsignal was formed by Sieges Even's Markus Steffen (guitars, programming) and Arno Menses (vocals, keyboards), followed shortly after by Dreamscape's Ralf Schwager (bass). As of December 2008 the band is completed by drummer Roel van Helden (Sun Caged) and keyboardist David Bertok (also of Dreamscape). The full length debut  Beautiful & Monstrous, was released in September 2009 via ZYX Music and Goldencore. 

The album contains nine tracks plus <a href=""https://www.last.fm/music/Subsignal"">Read more on Last.fm</a>","Blind Ego, Sylvan, Southern Empire, Mystery, Sieges Even"
Hazemaze,146376,19483,"Stoner/doom metal from Stockholm, Sweden

Bandcamp <a href=""https://www.last.fm/music/Hazemaze"">Read more on Last.fm</a>","Killer Boogie, Sergeant Thunderhoof, Sons of Arrakis, Black Rainbows, Mothership"
TesseracT,17133436,236960,"TesseracT is a progressive metal band from Reading, UK, that uses math metal, djent, ambient and technical metal elements in their music. TesseracT started out back in 2003 as an archetypal djent band in then-teenage Acle Kahney's bedroom. What started as an outlet for creativity and experimentation grew and Kahney posted clips of his technically heavy guitar work on forums such as Sevenstring.org, taking the feedback on board and gradually improving his technique. <a href=""https://www.last.fm/music/TesseracT"">Read more on Last.fm</a>","Skyharbor, Monuments, Periphery, The Contortionist, VOLA"
Orion's Reign,239597,26029,"Orion's Reign was formed in 2001, consisting then of Themis (guitar), Harris (guitar), Kostas (bass) and Noel (drums). Prior to this line up, other musicians were auditioned by or even joined with founding members Themis and Harris, but there was no real band back then, and therefore it's an era not worth mentioning. The four jammed together and came up with some tunes marking the first and primitive, classic heavy metal era of the band.

Somewhere in 2003 Harris left the band and Michael joined in, adding the much needed lead guitar elements. <a href=""https://www.last.fm/music/Orion%27s+Reign"">Read more on Last.fm</a>","Tungsten, Wisdom, Majestica, Dreamtale, Bloodbound"
Budgie,3789474,224268,"1) Budgie is a Welsh hard rock band founded in Cardiff, Wales, by bassist Burke Shelley in 1967, with Ray Philips (drums) and Tony Bourge (guitar). The group played an important role in establishing heavy metal and making it more prominent.

Often thought of as a cross between Black Sabbath (due to their plodding, molten-heavy riffs) and Rush (due to their singer's high-pitched, Geddy Lee-esque wail), the somewhat obscure British metal outfit Budgie has influenced countless outfits <a href=""https://www.last.fm/music/Budgie"">Read more on Last.fm</a>","Sir Lord Baltimore, Captain Beyond, UFO, Wishbone Ash, Lucifer's Friend"
Stratovarius,26735206,572950,"Stratovarius is a power metal band from Finland. They became more popular in the '90s, and throughout their career have inspired upcoming power metal bands with their baroque arranged keyboard solos & Ritchie Blackmore-like guitar portions.

Stratovarius was founded in Finland in 1984 from former members of the band Black Water. They went through a number of personnel and musical changes before the band found its own voice. In 1984, the name was changed to Stratovarius (a portmanteau of Stratocaster and Stradivarius), an idea of Stråhlman's. <a href=""https://www.last.fm/music/Stratovarius"">Read more on Last.fm</a>","Sonata Arctica, Helloween, Edguy, HammerFall, Cain's Offering"
Bleed From Within,5966483,174378,"Bleed From Within is a metal band from Glasgow, Scotland. The band formed in 2005 and currently consists of vocalist Scott Kennedy, drummer Ali Richardson, bassist Davie Provan and guitarists Craig Gowans and Steven Jones. The band has released four full-length studio albums and three EPs to date. Their fourth album ""Era"" was released on April 7, 2018 through Century Media in which the band moved towards a melodic metalcore style. <a href=""https://www.last.fm/music/Bleed+from+Within"">Read more on Last.fm</a>","Bury Tomorrow, Sylosis, Fit For A King, Fit for an Autopsy, Upon a Burning Body"
Kissin' Dynamite,1269137,70270,"Kissin' Dynamite is a traditional heavy metal band from Burladingen and Münsingen in Germany.
Originally named Blues Kids, the band changed its name to Kissin Dynamite in 2007.

December 2007: Some music journalists discover a 4-track CD in their Christmas mail by a combo hitherto unknown to them, called Kissin’ Dynamite. No booklet. Zero background information. But what they hear needs no further explanation: Gripping hard and riff rock professionally produced and influenced by Mötley Crüe <a href=""https://www.last.fm/music/Kissin%27+Dynamite"">Read more on Last.fm</a>","Dynazty, Shakra, H.E.A.T, Axxis, Brother Firetribe"
Cepheid,983277,46073,"Cepheid is a self-published and self-produced artist from Canada. He began his musical journey at the age of 17, with an interest in Japanese doujin music, and learned how to write, record, and produce music all from the comfort of his own bedroom.

In October of 2018, he released his single Goddess, featuring the incredibly talented Malaysian vocalist Nonon. In less than 2 months Goddess amassed over 1 million views on YouTube, and propelled his career into the spotlight. <a href=""https://www.last.fm/music/Cepheid"">Read more on Last.fm</a>","Takamachi Walk, Zephyrianna, 鬱P, HANABIE., Yunosuke"
Auri,606334,30381,"Finnish prog-folk trio Auri is the side project of Nightwish members Tuomas Holopainen and Troy Donockley, together with the former's wife, singer and violinist Johanna Kurkela. <a href=""https://www.last.fm/music/Auri"">Read more on Last.fm</a>","Eye of Melian, Elane, Erutan, Trobar de Morte, Loreena McKennitt"
Distorted Harmony,460131,29856,"www.distortedharmony.com
https://www.facebook.com/distortedharmony

The band started their journey in 2009, when the composer and keyboardist Yoav Efron met the drummer Yogev Gabay and the two started working together.
By 2011 they were joined by Misha Soukhinin (Vocals), Guy Landau (Guitars) and Iggy ‘Jalapeno’ Cohen (Bass). The music was first written in 2006, when Yoav composed the first title “Utopia” (which will later be the title for their debut album) and <a href=""https://www.last.fm/music/Distorted+Harmony"">Read more on Last.fm</a>","Votum, VOLA, Rendezvous Point, Vulkan, Caligula's Horse"
Underoath,45702145,944991,"Underoath (occasionally typeset as underOATH or UNDERØATH) is an American band originally formed on November 30, 1997 in Ocala, Florida, but later relocated to Tampa, Florida, which was home to some of their newer members. 
			
During the band's early years, when they were fronted by former vocalist Dallas Taylor, Underoath displayed a heavier style than their later, more well-known work, incorporating disparate influences from death and black metal. <a href=""https://www.last.fm/music/Underoath"">Read more on Last.fm</a>","Saosin, The Almost, Emery, The Devil Wears Prada, Silverstein"
Utsu-P,5422865,98445,"Utsu-P (鬱P, lit. Depression-P), is a recognized producer known for his metal VOCALOID songs.
Although at the beginning his songs exclusively featured Miku, he now also uses Rin, GUMI, and flower as well.
He is well known for managing VOCALOIDs to perform shouts, screams, and grunts through the use of filters and effects, and his melody generally has a heavy bass line.
Aside from that, his lyrics are often somewhat complex, and their hidden meaning is difficult to grasp at first glance. <a href=""https://www.last.fm/music/+noredirect/Utsu-P"">Read more on Last.fm</a>",
Audioslave,72563872,2791328,"Audioslave was an American hard rock supergroup that formed in Los Angeles, CA in 2001. It consisted of Soundgarden frontman and rhythm guitarist Chris Cornell and the former instrumentalists of Rage Against the Machine: Tom Morello (lead guitar), Tim Commerford (bass and backing vocals) and Brad Wilk (drums). 

Audioslave released three successful albums, received three Grammy nominations, sold more than eight million records worldwide, and became the first American rock band to perform an open-air concert in Cuba. <a href=""https://www.last.fm/music/Audioslave"">Read more on Last.fm</a>","Chris Cornell, Soundgarden, Temple of the Dog, Stone Temple Pilots, Alice in Chains"
Cryonic Temple,501189,24522,"CRYONIC TEMPLE can already look back on an eventful career. The heart of the band is singer Glen Metal, whose voice sounds very similar to that of Steve Grimmet (Grim Reaper), and guitarist Esa ""Freewheeler"" Ahonen (Acrope), whose traditional way of playing his instrument is marked by the drive of a K.K. Downing and the virtuosity of an Uli Jon Roth.

Glen and Esa left their previous combos, an Iron Maiden cover-band named Troopers and LEX CREDO, a prog metal outfit, in 1996, in order to put together something more professional.  <a href=""https://www.last.fm/music/Cryonic+Temple"">Read more on Last.fm</a>","Iron Fire, Crystal Eyes, Freternia, Dreamtale, Freedom Call"
Yawning Man,1586225,103548,"Yawning Man is an experimental rock band from the La Quinta, California, United States. The band originally formed in 1986, although they released no studio recordings until 2005. They were one of the first influential bands in the desert rock scene.

Yawning Man was born in 1986, originally founded by members Gary Arce, Alfredo Hernández, Mario Lalli, and Larry Lalli. At this time, the band started to play marathon jams from the garage to the desert. <a href=""https://www.last.fm/music/Yawning+Man"">Read more on Last.fm</a>","Brant Bjork, Causa Sui, Fatso Jetson, Mars Red Sky, Colour Haze"
Kamelot,40127391,503494,"Kamelot is a power metal band from Tampa, Florida that incorporates progressive and symphonic elements into their music. The band was founded by guitarist Thomas Youngblood and drummer Richard Warner in 1991.

In 1994 the band signed a deal with Noise Records; the release of their debut album Eternity followed in 1995. The next album, Dominion, was released in 1997.

Later that year, two of the band's members were replaced; drummer and founder Richard Warner and lead vocalist Mark Vanderbilt. <a href=""https://www.last.fm/music/Kamelot"">Read more on Last.fm</a>","Serenity, Sonata Arctica, Xandria, Avantasia, Conception"
Avenged Sevenfold,157073476,2416195,"Avenged Sevenfold (often abbreviated to A7X) is a heavy metal/hard rock band which formed in 1999 in Huntington Beach, California, United States. The band consists of vocalist M. Shadows, lead guitarist Synyster Gates, rhythm guitarist Zacky Vengeance, bassist Johnny Christ, and former Bad Religion and Suicidal Tendencies drummer Brooks Wackerman (2016-present). Heartbreakingly, the band's best friend and original drummer James ""The Rev"" Sullivan passed away in 2009. <a href=""https://www.last.fm/music/Avenged+Sevenfold"">Read more on Last.fm</a>","Bullet for My Valentine, Trivium, Slipknot, Disturbed, Metallica"
Jonathan Davis,1953825,155090,"There are two artists sharing the name Jonathan Davis: 1) The vocalist for KoЯn ; 2) An award winning Voice-Actor and Audiobook narrator

Jonathan Houseman Davis (born January 18, 1971) is the American vocalist for the multiplatinum nu metal band KoЯn. He was born and raised in Bakersfield, California, where he lived with his father and stepmother.

As well as being KoЯn's lead singer, he has also played bagpipes. Davis writes songs on guitar and other various instruments. <a href=""https://www.last.fm/music/Jonathan+Davis"">Read more on Last.fm</a>","Korn, Love and Death, Adema, (hed) Planet Earth, 40 Below Summer"
Blackbriar,1859245,64609,"Blackbriar is an alternative metal-gothic rock band from Assen, the Netherlands. They have released two albums, three EPs, six singles, ten official music videos, one official lyric video and four acoustic live videos.

In October 2019, Blackbriar joined Epica as official support during their Design Your Universe 10th Anniversary Tour.

In November 2019, Blackbriar was invited to play the aftershow for Halestorm and In This Moment at the AFAS Live in Amsterdam, the Netherlands. The band signed a contract with Nuclear Blast in November 2022. <a href=""https://www.last.fm/music/Blackbriar"">Read more on Last.fm</a>","Snow White Blood, Ad Infinitum, Elysion, Xandria, Delain"
Outloud,168062,10031,"OUTLOUD stands for 3 artists:

1-  A 2009 hard rock side project of Firewind members Bob  
      Katsionis and Mark Cross

2-  A Band by Nile Rodgers

3-  Thrash Metal band from Canada

4-  Hardcore band from Boston

First artist: 
Outloud, formed in 2008 featuring Firewind� members Bob Katsionis on Keyboards and lead guitar, Mark Cross on Drums, «ex-Firewind, Helloween, Kingdom Come ....», Chandler Mogel of «Talon» on vocals, Tony Kash on guitar and Sverd on Bass of «Bare Infinity».. <a href=""https://www.last.fm/music/Outloud"">Read more on Last.fm</a>","Bai Bang, Shakra, H.E.A.T, Crazy Lixx, Bad Business"
Soulfly,23089661,769352,"Soulfly is an American metal band formed in Phoenix, Arizona in 1997. The original lyrical content revolved around spirituality, political and religious themes, with later albums encompassing other themes including war, violence, aggression, slavery, hatred and anger. Soulfly is led by former Sepultura frontman Max Cavalera, who formed the band after he left the Brazilian group in 1996. To date the band has released twelve studio albums, one tour EP, twenty-three singles, one video album, and twelve music videos. <a href=""https://www.last.fm/music/Soulfly"">Read more on Last.fm</a>","Cavalera Conspiracy, Sepultura, Machine Head, Ektomorf, Chimaira"
Kid Rock,12085353,1001321,"Kid Rock (born Robert James Ritchie on January 17, 1971 in Romeo, MI),  is an American singer-songwriter and rapper from Detroit with five Grammy Award nominations. Kid Rock is known for music that incorporates elements of hip-hop, rap metal, blues-rock, hard rock, southern rock, funk and country.

Kid Rock released several studio albums from 1988 that mostly went unnoticed before his 1998 record 'Devil Without a Cause', released with Atlantic Records, sold 11 million albums behind the hits, ""Bawitdaba"",""Cowboy,"" and ""Only God Knows Why"". <a href=""https://www.last.fm/music/Kid+Rock"">Read more on Last.fm</a>","Buckcherry, Uncle Kracker, Hinder, Theory of a Deadman, Rehab"
Jonathan Young,3334185,112566,"Jonathan Young is an American singer, instrumentalist, and producer who is famous for performing covers of Disney-made and J-Pop songs, typically making metal, rock and punk covers. He created his channel in 2012  and posted his first song cover in the following year. Despite being known for covers, he has begun to make and release original music as well.

He's most well known for his collaborations with Magic The Gathering, Beyblade, Ernie Ball, Dragon Ball, Three Days Grace, Jason Paige, Caleb Hyles, and Tre Watson.  <a href=""https://www.last.fm/music/Jonathan+Young"">Read more on Last.fm</a>","Peyton Parrish, RichaadEB, Amanda Lee, FamilyJules, NateWantsToBattle"
The Rasmus,26507724,986630,"The Rasmus is a rock band formed in 1994 in Helsinki, Uusimaa, Finland. Consisting of  Lauri Ylönen (lead singer/songwriter), Eero Heinonen (bass), Aki Hakala (drums) and Emppu Suhonen (guitar). Former guitarist Pauli Rantasalmi left the band in January 2022 to focus on his own path. The band was formed at the end of the band members' schooling and were initially known as Rasmus. They recorded their first single, 1st, released independently through Teja Kotilainen Records in late 1995. <a href=""https://www.last.fm/music/The+Rasmus"">Read more on Last.fm</a>","Sunrise Avenue, Lauri, Reamonn, Manic Bloom, Poets of the Fall"
Killer Boogie,99701,17357,"Killer Boogie hail from Rome, Italy and are well-versed in the making of ’70s riff making: a machine in the retro ’n’ roll scene adept at mixing bluesy frequencies into an extremely fuzzy sound with psychedelic shades. They ground their roots in the sound of Blue Cheer, The Stooges, MC5, Cactus and Radio Moscow.

Members include: Gabriele Fiori on guitars and vocals (Black Rainbows), Luigi Costanzo on drums (The Wisdoom) and Matteo Marini on bass.
 <a href=""https://www.last.fm/music/Killer+Boogie"">Read more on Last.fm</a>","Hazemaze, Black Rainbows, The Heavy Eyes, The Midnight Ghost Train, Mothership"
Anaal Nathrakh,13875712,186393,"Anaal Nathrakh is a British extreme metal band formed in 1999 in Birmingham, England. They are currently signed to Metal Blade Records. The band's name is Irish for snake's breath (anál nathrach) and was taken from Merlin's Charm of Making in John Boorman's 1981 film Excalibur.[1] The band recorded two demos in 1999, which were later released as an album.

The band took their founding cues from Norwegian black metal bands such as Mayhem, Burzum, and Darkthrone. <a href=""https://www.last.fm/music/Anaal+Nathrakh"">Read more on Last.fm</a>","1349, Belphegor, Cattle Decapitation, Benighted, Behemoth"
Imperial Age,262867,20565,"Imperial Age is a symphonic metal / power metal band.. Originally founded in 2012 by singers/composers Alexander ""Aor"" Osipov and ""Corn"" (Jane Odintsova), the band moved to the UK following the 2022 Russian invasion of Ukraine. The group has musicians from Russia, UK, Italy, Netherlands and US, and their music is primarily in English. Including Anna Kiara (vocals))

Discography

Turn the Sun Off! -  (2012)
Warrior Race - (EP, 2016)
The Legacy Of Atlantis - (2018) <a href=""https://www.last.fm/music/Imperial+Age"">Read more on Last.fm</a>","REXORIA, Temperance, Xandria, Amberian Dawn, Elvellon"
Emma Ruth Rundle,6605959,176694,"Emma Ruth Rundle, born on October 10, 1983, in Los Angeles, CA is an American singer-songwriter, guitarist and visual artist currently based in Portland, Oregon. Formerly of The Nocturnes, she has released four solo albums under her own name, one darkwave album as The Headless Prince of Zolpidem, and is currently guitarist in Red Sparowes and vocalist/guitarist in Marriages.

Rundle's solo debut recording, Electric Guitar: One is a collection of guitar-based <a href=""https://www.last.fm/music/Emma+Ruth+Rundle"">Read more on Last.fm</a>","Marriages, Chelsea Wolfe, Jaye Jayle, Marissa Nadler, Midwife"
PelleK,1328897,108095,"PelleK or originally ""Per Fredrik Pellek Åsly"" is a Norwegian power metal vocalist who started his singing career on youtube where he in short time millions of views with cover-songs and videos such as ""PelleKs 4 Octave Vocal Range"".

PelleK is the lead vocalist of Damnation Angels, and he also has his solo project PelleK. He also sung guest or lead vocals for 8 (or more) signed bands in 2012.

PelleKs releases can (for the time being) be bought signed by PelleK himself on his official website. <a href=""https://www.last.fm/music/Pellek"">Read more on Last.fm</a>","Linked Horizon, Sonata Arctica, RichaadEB, Keldian, Ferdk"
Earthless,1324297,124548,"Earthless is a mostly instrumental psychedelic rock band from San Diego, California, consisting of guitarist Isaiah Mitchell, bassist Mike Eginton and drummer Mario Rubalcaba.

The band formed in 2001 and released their first album, Sonic Prayer, through Gravity Records in 2005. Their second album, Rhythms from a Cosmic Sky, was released in 2007 through Tee Pee Records.

Mitchell sings occasionally, but the band's music is mostly instrumental and features long semi-improvised songs drawing on classic rock <a href=""https://www.last.fm/music/Earthless"">Read more on Last.fm</a>","Causa Sui, King Buffalo, Kadavar, Killer Boogie, Dozer"
Volbeat,48299489,874331,"Volbeat is a heavy metal band from Denmark, founded in 2001. They released their first album, The Strength/the Sound/the Songs, in 2005 and the follow up, Rock the Rebel/Metal the Devil, was released in Denmark on February 19, 2007, and in the rest of Europe on February 26, 2007. In March 2007, it topped the Danish album chart as the best selling album, the first metal album ever to do so.

Volbeat was formed in 2001 after frontman Michael Poulsen split up his former band, Dominus. <a href=""https://www.last.fm/music/Volbeat"">Read more on Last.fm</a>","Godsmack, Five Finger Death Punch, Stone Sour, Disturbed, Dee Snider"
Nightwish,154994619,1608129,"Nightwish is a Finnish symphonic metal band from Kitee. The band was formed in 1996 by lead songwriter and keyboardist Tuomas Holopainen, guitarist Emppu Vuorinen, and former lead singer Tarja Turunen. The band soon picked up drummer Jukka Nevalainen, and then bassist Sami Vänskä after the release of their debut album, Angels Fall First (1997). In 2001, Vänskä was replaced by Marko Hietala, who also took over the male vocalist role previously filled by Holopainen or guest singers. <a href=""https://www.last.fm/music/Nightwish"">Read more on Last.fm</a>","Epica, Tarja, Within Temptation, Xandria, Delain"
Frozen Land,99951,9645,"FROZEN LAND,  banda finlandesa de Power Metal con cantante italiano al frente, Tony Meloni. El resto de la banda la componen: Tuomas Hirvonen (guitarras), Aki Kuokkanen (batería), Lauri Muttilainen (teclados), y Juhana Heinonen al bajo. <a href=""https://www.last.fm/music/Frozen+Land"">Read more on Last.fm</a>","Burning Point, Guardians of Time, Galderia, Saint Deamon, Excalion"
BAND-MAID,8077293,116414,"Band-Maid, stylized as BAND-MAID and formerly as BAND-MAID®, is a five-piece, all-female Japanese rock group, signed to Gump Records, an imprint of the Shibuya-based Platinum Passport artist management and talent agency, itself a division of Avex Group.

The first incarnation known as BAND-MAID® was formed in july 2013 by Singer/guitarist Miku Kobato, a former employee of a Japanese maid café. Via an internet search Kobato found lead guitarist Kanami Tōno, who had performed as a singer-songwriter before. <a href=""https://www.last.fm/music/BAND-MAID"">Read more on Last.fm</a>","BAND-MAIKO, NEMOPHILA, Gacharic Spin, Bridear, DOLL$BOXX"
