Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Ricky Rich,1299502,87227,"Ricky Akdogan, better known as Ricky Rich, is a Swedish rapper. He lives in Vestalus. Akdogan was born to Syriac Orthodox Assyrian parents. His family is Turkish-Syrian who immigrated to Sweden from Midyat in southeastern Turkey.

Ricky Rich worked with Aram Mafia (stylized as Aram Mafia) , which consisted of producers Peter Murad and Marcus Turan, and scored numerous charts in 2018 and his 2019 It produced hits and songs. Most notable was the single ""Habibi"". <a href=""https://www.last.fm/music/Ricky+Rich"">Read more on Last.fm</a>","C.Gambino, a36, DJ Snake, Mohombi, Raaban"
Benab,497499,18177," <a href=""https://www.last.fm/music/Benab"">Read more on Last.fm</a>","Hornet La Frappe, GLK, Mister You, Maes, Nahir"
Del Water Gap,12691355,510800,"Del Water Gap is the solo project of American songwriter, producer, and singer Samuel Holden Jaffe. Born in New Haven, Connecticut, Jaffe currently resides in Brooklyn, New York. His music is known for its intimate nature, drawing inspiration from ""romantic encounters and dimly lit rooms.""

Jaffe's musical journey began while attending boarding school in Millbrook, New York. It was during this time that he adopted the name Del Water Gap, inspired by the sight of it handwritten on the back of a box truck. <a href=""https://www.last.fm/music/Del+Water+Gap"">Read more on Last.fm</a>","Tommy Lefroy, Maggie Rogers, Coin, Ethan Tasch, Bleachers"
Kungs,7987337,712075,"Valentin Brunel (born 17 December 1996), better known by his stage name Kungs, is a French house music DJ, record producer and musician. His collaboration with Cookin' on 3 Burners titled ""This Girl"" reached number 2 on the UK Singles Chart in 2016.

Valentin started his musical career with a djembe gifted by his parents to him at the age of five. Valentin grew up listening to rock and roll classics with his father, including The Who and The Kooks. <a href=""https://www.last.fm/music/Kungs"">Read more on Last.fm</a>","Martin Solveig, Ofenbach, Feder, Bakermat, Purple Disco Machine"
Mad Tsai,2856966,226083,"Jonathan Chai (born July 13, 2001), professionally known by his stage name Mad Tsai, is a Taiwanese and Peruvian singer-songwriter who gained popularity on the app TikTok under the username, ""madsteaparty"". He gained even more fame when he came out to his mother with his viral song “boy bi”, uploading her reaction to TikTok.

Mad is originally from Huntington Beach, California, and at age 13, began writing music and performing at local shows to help talk about experiences navigating mental health, bullying, self-love, and identity. <a href=""https://www.last.fm/music/Mad+Tsai"">Read more on Last.fm</a>","Emei, Emeline, Sushi Soucy, Lyn Lapid, Em Beihold"
aespa,176472637,947932,"aespa (stylized as æspa) is a four-member South Korean girl group formed by SM Entertainment in 2020. The group consists of four members: Karina (카리나), Giselle (지젤),  Winter (윈터) and Ningning (닝닝). They debuted on November 17, 2020 with the single ""Black Mamba"".

The group's name, Aespa, combines the English initials of ""avatar"" and ""experience"" (Avatar X Experience) with the English word ""aspect"", meaning ""two sides"", to symbolize the idea of ""meeting another self and experiencing the new world"". <a href=""https://www.last.fm/music/aespa"">Read more on Last.fm</a>","Kiss of Life, NINGNING, GOT the beat, LE SSERAFIM, IVE"
Akim,115362,14810,"Afiq Hakim Ahmad, also known as Akim (born January 18, 1991), is a Malaysian singer and actor. Second runner up of the seventh season of Malaysian reality show, Akademi Fantasia in 2009. <a href=""https://www.last.fm/music/AKIM"">Read more on Last.fm</a>","Boza, Sam Cosmo, Neki, Karo, Эллаи"
St. Lundi,391771,57861," <a href=""https://www.last.fm/music/St.+Lundi"">Read more on Last.fm</a>","BANNERS, Darren Kiely, Wild, Steerner, Sandro Cavazza"
Ray Dalton,730397,91186," <a href=""https://www.last.fm/music/Ray+Dalton"">Read more on Last.fm</a>","Marlon Roudette, Mark Forster, Rag'n'Bone Man, Nina Chuba, Taio Cruz"
Madonna,261201466,4686340,"Madonna Louise Veronica Ciccone (born August 16, 1958 in Bay City, Michigan) is an American singer, songwriter and actress. She is considered one of the most influential figures in popular culture and has often been referred to as the ""Queen of Pop"". Madonna is noted for her continual reinvention and versatility in music production, songwriting and visual presentation. She is also known for pushing the boundaries of artistic expression in mainstream music, while maintaining control over every aspect of her career. <a href=""https://www.last.fm/music/Madonna"">Read more on Last.fm</a>","Kylie Minogue, Britney Spears, Janet Jackson, Paula Abdul, Cher"
IVE,108387420,771037,"IVE (Korean: 아이브) are a South Korean girl group formed by Starship Entertainment. The group is composed of six members: Yujin, Gaeul, Rei, Wonyoung, Liz and Leeseo. The group's name, IVE, is a contraction for ""I have"". It refers to the idea of showing what ""I have"" to the audience with confidence, where instead of telling the story of growth, the group intends to portray a ""complete girl group"" from the start.

IVE was teased for the first time on November 9, 2021, with a short video revealing the group at first sight. <a href=""https://www.last.fm/music/Ive"">Read more on Last.fm</a>",
Go_A,4044593,187994,"Go_A is a Ukrainian electro-folk/folktronica band first formed in 2012, combining astonishing authentic Ukrainian folk and modern electronic dance beats.

They were set to represent Ukraine in the Eurovision Song Contest 2020 in Rotterdam, Netherlands, with the song Solovey. Following the cancellation of the 2020 contest due to the COVID-19 pandemic, it was announced the band will represent the country in 2021, this time with Shum (a shorter version of their hit Шум). They came 2nd in the public vote and 5th overall. <a href=""https://www.last.fm/music/Go_A"">Read more on Last.fm</a>","KALUSH, The Hardkiss, Jerry Heil, Pasha Parfeny, Onuka"
MYA,1202992,65117,"Incorrect tag for Mýa. Keep stats clean by fixing your ID3 tags, or easier still, leave auto-correction on. Let's not cheat the artist of any more plays and listeners, 1.9 million is quite enough... <a href=""https://www.last.fm/music/+noredirect/Mya"">Read more on Last.fm</a>",
Rokudenashi,98771,15195,"A next-generation music project by vocalist Ninzin, and upcoming vocaloid producers and other composers based in Japan  since June 2021 <a href=""https://www.last.fm/music/Rokudenashi"">Read more on Last.fm</a>","Tayori, Kohana Lam, dazbee, Kotoha, tuki."
Luis Alfonso,153797,8979," <a href=""https://www.last.fm/music/Luis+Alfonso"">Read more on Last.fm</a>","Herencia de Timbiqui, Luis Silva, Hernan Gómez, Joaquin Guiller, YEISON JIMENEZ"
Luis Alberto Posada,72956,6318," <a href=""https://www.last.fm/music/Luis+Alberto+Posada"">Read more on Last.fm</a>","El Charrito Negro, Darío Gómez, Jhonny Rivera, YEISON JIMENEZ, Pipe Bueno"
Colapesce,1386227,62184," <a href=""https://www.last.fm/music/Colapesce"">Read more on Last.fm</a>","Colapesce, Dimartino, Ex-Otago, Franco Battiato, IOSONOUNCANE, Dente"
Joyner Lucas,16457828,565911,"Gary Maurice Lucas Jr. (born August 17, 1988) is an American rapper, singer, songwriter, record producer, poet, and actor from Worcester, Massachusetts.

Lucas received widespread exposure and critical acclaim after the release of his single ""Ross Capicchioni"" in 2015. In June 2017, he released his fourth mixtape, 508-507-2209, which was his first on a major label. On November 28, 2017, Lucas released his single ""I'm Not Racist"", which quickly went viral, gaining him further attention and praise. <a href=""https://www.last.fm/music/JOYNER+LUCAS"">Read more on Last.fm</a>",
Lamis Kan,517723,41294," <a href=""https://www.last.fm/music/Lamis+Kan"">Read more on Last.fm</a>","Nancy Ajram, Sherine, Haifa Wehbe, Myriam Fares, Elyanna"
Madison Beer,66729204,1209125,"Madison Elle Beer (born March 5, 1999) is an American singer, songwriter and social media influencer from Jericho, New York. She is currently signed to Epic Records. Beer began posting videos on YouTube of her singing covers of popular songs in early 2012. They gained the attention of Justin Bieber, who tweeted a link to her cover of Etta James' ""At Last"" to his followers. This caused Beer to trend worldwide on Twitter and gain substantial media coverage. <a href=""https://www.last.fm/music/Madison+Beer"">Read more on Last.fm</a>","Sabrina Carpenter, Nessa Barrett, Tate McRae, Ariana Grande, Maggie Lindemann"
ABBA,133623936,3513048,"ABBA is a Swedish pop group formed in Stockholm in  1972 by Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad. The group's name is an acronym of the first letters of their first names. They became one of the most commercially successful acts in the history of popular music, topping the charts worldwide from 1974 to 1982. ABBA won the Eurovision Song Contest 1974 at The Dome in Brighton, UK, giving Sweden its first triumph in the contest. They are the most successful group to have taken part in the competition. <a href=""https://www.last.fm/music/ABBA"">Read more on Last.fm</a>","Agnetha Fältskog, Frida, Olivia Newton-John, Bee Gees, Boney M."
RYM,40110,3394," <a href=""https://www.last.fm/music/Rym"">Read more on Last.fm</a>","Cravata, Douaa Lahyaoui, TAGNE, Salma Rachid, Kouz-1"
DDG,7867326,465126,"Darryl Dwayne Granberry Jr., known professionally as DDG, is an American E-list rapper, YouTuber and entrepreneur from Pontiac, Michigan. He started making videos in 2015 when he was enrolled at Central Michigan University and later dropped out. Since releasing hit songs including “Moonwalking in Calabasas” <a href=""https://www.last.fm/music/DDG"">Read more on Last.fm</a>","NLE Choppa, Polo G, Lil Tjay, Roddy Ricch, Moneybagg Yo"
Fedez,2354294,91893,"Federico Leonardo Lucia (born 15 October 1989 in Milan), known by his stage
name Fedez , is an Italian rapper and singer. In 2011, he released the albums
Penisola che non c'è and Il mio primo disco da venduto , released as free
digital downloads. His first major studio album, Sig. Brainwash - L'arte di
accontentare , was released in 2013, and it debuted at number one on the
Italian Albums Chart. The album, which spawned three singles, including the <a href=""https://www.last.fm/music/Fedez"">Read more on Last.fm</a>","J-AX, Pinguini Tattici Nucleari, Tananai, Irama, Tony Effe"
Minelli,1322710,101040,"Luisa Ionela Luca (b. August 22, 1988, Slobozia, Romania) professionally known as Minelli, is a Romanian singer, songwriter and lyricist. Before pursuing a solo career, Minelli was part of the band Wassabi. <a href=""https://www.last.fm/music/Minelli"">Read more on Last.fm</a>","Olivia Addams, Holy Molly, Antonia, Inna, SICKOTOY"
Muslim,100769,7874,"Muslim is a Moroccan rapper from Tangier City, he's debute was in the early nineties, his serious social oriented style makes of him an artist that reflect the day to day reality around him in his lyrics successfully. he's style is strongly relying on metaphors which have there roots in the Moroccan old culture. 

Muslim is the father of underground rap in morocco his last album is "" ATTAMAROD ""  the Revolution  <a href=""https://www.last.fm/music/Muslim"">Read more on Last.fm</a>","Wegz, Lege-Cy, MARWAN PABLO, Don Bigg, ElGrandeToto"
Yebba,5191476,369120,"Abigail Elizabeth Smith, (born January 16, 1995) known professionally as Yebba, is an American Grammy-award-winning singer and songwriter from West Memphis, Arkansas. She first became known for her backing vocal performance on Chance the Rapper's SNL performance of the song ""Same Drugs"" in 2016 and releasing her debut single ""Evergreen"" in 2017. She has also collaborated with a number of artists, including PJ Morton, Sam Smith, Mark Ronson, Stormzy and Ed Sheeran. <a href=""https://www.last.fm/music/Yebba"">Read more on Last.fm</a>","Jazmine Sullivan, Cleo Sol, Amber Mark, Tori Kelly, rum.gold"
Colby Acuff,575417,46838," <a href=""https://www.last.fm/music/Colby+Acuff"">Read more on Last.fm</a>","Josh Meloy, J.R. Carroll, Wyatt Flores, Flatland Cavalry, Charles Wesley Godwin"
VHG,10834,2418," <a href=""https://www.last.fm/music/VHG"">Read more on Last.fm</a>","Gaiteros de Pillopo, Gran Coquivacoa, Cardenales Del Exito, Maracaibo 15, Alitasia"
Valley,8288103,296567,"There are four bands with the name Valley.
Also see, The Valley.

 Valley is a 4 piece alternative pop band from Toronto. The 4 friends met by coincidence when they were accidentally double booked at a studio in late 2013. Valley takes pride in writing and self producing their music in their home studio where they have successfully released 1 EP and a debut LP, MAYBE. The band recently supported Lennon Stella on her sold out North American theatre tour and will be supporting The Band Camino through North America this upcoming fall 2019. <a href=""https://www.last.fm/music/VAllEY"">Read more on Last.fm</a>",
Luisito Muñoz,28224,3653," <a href=""https://www.last.fm/music/+noredirect/Luisito+Mu%C3%B1oz"">Read more on Last.fm</a>","Darío Gómez, YEISON JIMENEZ, Álzate, FERNANDO BURBANO, Luis Alberto Posada"
Matías Valdez,57735,5091," <a href=""https://www.last.fm/music/Mat%C3%ADas+Valdez"">Read more on Last.fm</a>","Lucas Sugo, The La Planta, Marka Akme, La Nueva Escuela, Dame 5"
Jamie Miller,2850091,190023,"Jamie Miller, a 20 year-old, pop-soul, singer-songwriter from Cardiff, United Kingdom, began singing when he was just five years old. As a teenager, he posted covers and original music on his YouTube account. In 2016, at the age of 19, Jamie auditioned for The Voice UK, and after months of competition and performances as a member of Team Jennifer Hudson, made it to the Finals, with millions of fans watching and voting to advance him after each performance. <a href=""https://www.last.fm/music/Jamie+Miller"">Read more on Last.fm</a>","Henry Moodie, Zoe Wees, Sam Fischer, Lewis Capaldi, Benson Boone"
MA3IZ,38402,2164," <a href=""https://www.last.fm/music/MA3IZ"">Read more on Last.fm</a>","Mocci, Mounim Slimani, Rym, TAGNE, Cravata"
Sadie Jean,3161673,240815,"Sadie Jean Wilcox (born May 15, 2002) is an American singer-songwriter. Her debut single, ""WYD Now?"", went viral on TikTok in 2021.

Jean took piano lessons for six years, starting when she was in first grade, also taking vocal lessons. She also began writing songs in first grade. Jean was a part of her high school's choir.

Jean was encouraged by her brother to make her music public after he heard her perform a cover of Radiohead's song ""Creep"", which prompted her to start posting her music to SoundCloud. <a href=""https://www.last.fm/music/sadie+jean"">Read more on Last.fm</a>",
Weeekly,13313564,344581,"Weeekly (위클리; known pre-debut as FAVEGIRLS and PlayM Girls) is a South Korean girl group under IST Entertainment. The group consists of 6 members: Lee Soojin (이수진), Monday (먼데이), Park Soeun (박소은),  Lee Jaehee (이재희), Jihan (지한), and Zoa (조아). They debuted on June 30, 2020 with their first mini album We Are.  Shin Jiyoon (신지윤) left the group in June 2022. <a href=""https://www.last.fm/music/Weeekly"">Read more on Last.fm</a>","Rocket Punch, LIGHTSUM, woo!ah!, Cherry Bullet, H1-KEY"
Lojay,949557,91153,"Lekan Osifeso Jr, is a multi talented, dynamic Nigerian singer-songwriter and performing artist who has cemented himself as an afro-fusion sensation since his debut in 2016. 

Gangster Romantic is an introduction to the turbulent world of Lojay, marked by passionate affairs, in-depth reflection, acute fears, and romanticism. Lojay redefines himself on the 7– track follow-up to the well-received joint EP “LV N ATTN” with renowned producer Sarz. <a href=""https://www.last.fm/music/LoJay"">Read more on Last.fm</a>","Fireboy DML, Ruger, Joeboy, Davido, Adekunle GOLD"
Annalisa,4168320,85749,"Three artists under the name Annalisa;

1) Italian singer Annalisa Scarrone, born 5 August 1985 in Carcare, Savona, Italy. Better known as simply Annalisa or Nali, is an Italian pop singer and songwriter. After being part of two bands, Elaphe Guttata and leNoire, she became famous after participating in the tenth edition of the talent show Amici di Maria De Filippi in 2010–2011, where she finished in second place. Subsequently Annalisa participated five times in the Festival di Sanremo in: 2013 with Scintille (9th) <a href=""https://www.last.fm/music/Annalisa"">Read more on Last.fm</a>","Elodie, Emma, Angelina Mango, Rose Villain, Clara"
Oana Radu,38905,3674," <a href=""https://www.last.fm/music/Oana+Radu"">Read more on Last.fm</a>","DoDDy, Nicole Cherry, Vescan, Theo Rose, rares"
Rhove,1853657,44619," <a href=""https://www.last.fm/music/Rhove"">Read more on Last.fm</a>","Paky, Artie 5ive, Sfera Ebbasta, Capo Plaza, ICY SUBZERO"
Hikaru Utada,14005866,383453,"(宇多田 ヒカル Utada Hikaru, born January 19, 1983), known by her stage name Utada in America and Europe, is a Japanese singer, songwriter, arranger, and producer. Since the release of her Japanese debut album First Love, which went on to become the best-selling album in Oricon history, Utada has had three of her Japanese studio albums in the list of Top 10 best-selling albums ever in Japan and six of her albums (including one English-language and one compilation) charting within the 275 Best-Selling Japanese albums list. <a href=""https://www.last.fm/music/+noredirect/Hikaru+Utada"">Read more on Last.fm</a>",
Holy Molly,483897,53905,"1. Holy Molly is a singer, songwriter and actress known for
her powerful voice and intriguing lyrics. Growing up as
a musician, she learned how to play piano, guítar, took
music theory and canto lessons at a very young age.
She had her first video at the age 13, becoming a pop
sensation in her country.

Her songs focus on Holy Molly's writing techniques, as
well as her seismic voice. Using her sense of empathy
and the pop influences that she grew up with, she is <a href=""https://www.last.fm/music/Holy+Molly"">Read more on Last.fm</a>","Minelli, Antonia, SICKOTOY, Inna, Monoir"
Da-iCE,1042788,63109,"Da-iCE is a male Japanese pop five-member group. In May 2012 released through avex trax' official YouTube channel the promotional video for the song ""Splash"", but it was not until December when they debuted with their self-titled HMV exclusive mini-album Da-iCE. At the end of 2013 the group had a transfer to the sub label UNIVERSAL SIGMA of the music label Universal Music Japan, where they debuted with the single ""SHOUT IT OUT"". It's rumored that one of the reasons for the transfer was that avex trax invested more in the group FAKY <a href=""https://www.last.fm/music/Da-iCE"">Read more on Last.fm</a>","AAA, GENERATIONS from EXILE TRIBE, 優里, Official髭男dism, tuki."
MACE,2446101,60332,"1) MACE (alias of Simone Benussi) is an italian Hip-Hop/EDM producer from Milan. Grounded in hip-hop and electronic music, MACE (alias of Simone Benussi) has applied his voracious musical obsessions over the years in numerous collaborations and a sonic palette of releases. The Milan-based producer and DJ formed his first artistic project, La Crème, in partnership with his childhood friend Jack the Smoker, with whom he released the rap album ‘L’Alba’ in 2003. <a href=""https://www.last.fm/music/Mace"">Read more on Last.fm</a>","Machete, Kaos, NIGHT SKINNY, Venerus, Gemitaiz"
Ruger,1468896,74446," <a href=""https://www.last.fm/music/Ruger"">Read more on Last.fm</a>","Joeboy, Kizz Daniel, Fireboy DML, Victony, Omah Lay"
vaultboy,4149818,292145,"Vaultboy is a rising indie pop artist known for his viral debut single ""everything sucks,"" which hit #1 on the Spotify Global Viral charts with over 13.7 million streams. The song has been featured in nearly 300,000 TikTok videos and its music video has amassed over 6 million views. Vaultboy's stage name is inspired by a favorite video game series of his called Fallout, in which Vault Boy is a little blonde-haired mascot for a company that made doomsday vaults.  <a href=""https://www.last.fm/music/VaultBoy"">Read more on Last.fm</a>","Mokita, Suriel Hess, Fly By Midnight, Gavn!, Ryan Mack"
Cody Johnson,5560916,185469,"In a time of synthetics and plastics, folks appreciate the real thing. Musically, we look for songs that reach beyond our eardrums, touching our hearts. Cody Johnson's unique blend of country and rock does just that.

Many Texan music fans met Cody Johnson’s honest style through the radio singles from his ""Six Strings, One Dream"" album: ""Nobody to Blame"" (#6 on the Texas music charts in 2009);  #1""Pray for Rain"" (2009 - 2010); and ""Texas Kind of Way"" (#6, late 2010 – 2011).  <a href=""https://www.last.fm/music/Cody+Johnson"">Read more on Last.fm</a>","Riley Green, Parker McCollum, Luke Combs, Justin Moore, Randall King"
Georgiana Lobont,19377,1590," <a href=""https://www.last.fm/music/Georgiana+Lobont"">Read more on Last.fm</a>","Vladuta Lupau, Armin Nicoara, Vlăduța Lupău, CARMEN DE LA SALCIUA, Claudia Puican"
Emmanuel Horvilleur,1025497,64629,"Emmanuel Horvilleur is an Argentinean musician known for being part in the 90s of Illya Kuryaki and the Valderramas. He also contributed to bands like Babasónicos, A Tirador Laser and Los Látigos.
When Illya Kuryaki broke up, he began his solo career in late 2002 recording his first work, which didn't come out until 2003. Música y Delirio is the name of this record and Soy Tu Nena was its first single. 
In 2004 he had a son with Argentinean actress Celeste Cid, and also played a part in a movie called 'Yok'. <a href=""https://www.last.fm/music/Emmanuel+Horvilleur"">Read more on Last.fm</a>","Babasónicos, Illya Kuryaki And The Valderramas, Usted Señalemelo, El Kuelgue, Conociendo Rusia"
Emanuele Aloia,290211,13987,"Emanuele Aloia (born 16 December 1998 in Turin, Italy) is an Italian singer-songwriter who became famous in 2019-2020 thanks to two successful songs: ""Girasoli"", but above all ""Il bacio di Klimt"". An artist from Turin who has tried to participate in the musical talent of 'Amici' in the past, composed the most used Italian song of 2020 on the Chinese platform TikTok. <a href=""https://www.last.fm/music/Emanuele+Aloia"">Read more on Last.fm</a>","Matteo Romano, Ultimo, Ermal Meta, Pinguini Tattici Nucleari, Fabrizio Moro"
苏星婕,181976,13545," <a href=""https://www.last.fm/music/%E8%8B%8F%E6%98%9F%E5%A9%95"">Read more on Last.fm</a>","蓝心羽, 汪苏泷, 艾辰, 颜人中, 毛不易"
Lasmid,41583,4454," <a href=""https://www.last.fm/music/Lasmid"">Read more on Last.fm</a>","Olivetheboy, Mr Drew, Fameye, Kwesi Arthur, Kuami Eugene"
sangiovanni,1308141,64103,"Giovanni Pietro Damian (born 9 January 2003) is an Italian singer-songwriter better known by the name  sangiovanni. He was born in Vicenza, Veneto, Italy. He first rose to fame after taking part in Italian talent show Amici in 2020, where he won the singers category and finished second overall. His song Malibu from his debut EP  sangiovanni topped the Italian single chart for four weeks and was certified seven platinum in Italy. Sangiovanni participated in Sanremo Music Festival 2022 with  Farfalle and finished fifth overall. <a href=""https://www.last.fm/music/sangiovanni"">Read more on Last.fm</a>","Irama, Mr. Rain, Tananai, The Kolors, Annalisa"
Werenoi,3740475,58649," <a href=""https://www.last.fm/music/WeRenoi"">Read more on Last.fm</a>","Ninho, Maes, Guy2Bezbar, Kaza, Freeze Corleone"
Lainey Wilson,2486720,148440,"Singer and songwriter Lainey Wilson blends tough-as-nails grit and tenderhearted sentiment in contemporary country tunes with more than a touch of traditionalism. Born in 1992, she was raised on the classics in the tiny town of Baskin, LA: “I knew that country music for me and my family was more than just a genre,” Wilson tells Apple Music. “It literally is what we lived.” She started writing songs before she hit her teen years and took a gig impersonating Hannah Montana in high school <a href=""https://www.last.fm/music/Lainey+Wilson"">Read more on Last.fm</a>","Carly Pearce, Megan Moroney, Cody Johnson, Ella Langley, Bailey Zimmerman"
Lexsil,26981,5573," <a href=""https://www.last.fm/music/Lexsil"">Read more on Last.fm</a>","Singah, Blaq Jerzee, Otile Brown, Jux, Majeeed"
Cooper Alan,573947,36039," <a href=""https://www.last.fm/music/Cooper+Alan"">Read more on Last.fm</a>","Ryan Langdon, Brantley Gilbert, Moonshine Bandits, Dylan Scott, Tim Schou"
Victony,2626639,195534,"Anthony Ebuka Victor (born 5 January 2001), known professionally as Victony is a Nigerian singer, rapper and songwriter.  He is from the Orsu local government area of Imo State. He was influenced while growing up by artist like davido, WizKid, M.I., Falz, etc, He is signed to a Nigerian record label called Mainland BlockParty and Jungle Records. He released a debut studio album Saturn, in August 2020. He released his first single titled Ina Benz, which was his first appearance in the music industry. <a href=""https://www.last.fm/music/Victony"">Read more on Last.fm</a>","Young Jonn, Omah Lay, Fireboy DML, Ruger, Asake"
Madame,2504773,73621,"There are at least four artists named Madame-- an Italian music artist from Vicenza; a Polish band; a Quebecois band and an electronic music artist from Barcelona.

1) Italian music artist from Vicenza.
Madame, stage name of Francesca Galeano (born on January 16, 2002, in Creazzo), debuted in the music world at just 16 years old, releasing the single ""Anna."" Madame's style is different from the usual; hers is an urban music that focuses on melody, with refined and meticulously crafted writing. <a href=""https://www.last.fm/music/Madame"">Read more on Last.fm</a>","Siekiera, Wieże Fabryk, Made in Poland, Litfiba, Klaus Mitffoch"
Ana Castela,6372107,212900,"Ana Flávia Castela (20 anos) teve seu primeiro viral na internet com a sua música de estreia 'Boiadeira', que atualmente conta com mais de 100 milhões de streams nas plataformas digitais. Seu deslanche veio com a música 'Pipoco', parceria com Melody e Dj Chris no Beat, o hit alcançou o primeiro lugar de todas as paradas do Brasil.

A cantora lota shows por todo o país e já alcançou o número #1 novamente com as músicas ""Nosso Quadro"", ""Bombonzinho"" e ""Canudinho"" <a href=""https://www.last.fm/music/Ana+Castela"">Read more on Last.fm</a>","Gustavo Mioto, Luan Pereira, Dj Chris No Beat, Simone Mendes, Israel & Rodolffo"
Timaya,439941,50246,"Inetimi Timaya Odon also known as Timaya is Nigerian singer from Bayelsa. He started from Port Harcourt as a teenager in Nkpolu Oroworukwo secondary school were he won so many awards in schools competitions and moved to Lagos at his parents request to stay with his elder sister and complete his secondary education. He schooled at Ikeja high school in Mafoluku, Lagos. He had some early collaborations with some underground artists and was a back up singer for Eedris Abdulkarem. <a href=""https://www.last.fm/music/Timaya"">Read more on Last.fm</a>","Patoranking, Ice Prince, Kizz Daniel, Iyanya, P-Square"
Green Montana,6198820,47243," <a href=""https://www.last.fm/music/Green+Montana"">Read more on Last.fm</a>","Hamza, KEKRA, SCH, Laylow, So La Lune"
LADIPOE,225767,25166," <a href=""https://www.last.fm/music/LadiPOE"">Read more on Last.fm</a>","Odumodublvck, Show Dem Camp, LoJay, Blaqbonez, Falz"
小阿七,142937,11996," <a href=""https://www.last.fm/music/%E5%B0%8F%E9%98%BF%E4%B8%83"">Read more on Last.fm</a>","于冬然, 承桓, En, 海来阿木, 卢卢快闭嘴"
Brunella Torpoco,21478,2078,"Peruvian salsa singer born in 1999 in Callao. <a href=""https://www.last.fm/music/Brunella+Torpoco"">Read more on Last.fm</a>","Son Tentación, Bembe Orquesta, Daniela Darcourt, You Salsa, Josimar y su Yambú"
ARIETE,1733257,45095," <a href=""https://www.last.fm/music/+noredirect/Ariete"">Read more on Last.fm</a>",
Mr. Fox,64790,10167,"Mr. Fox is a name used by multiple artists. (1) was an English folk-rock group of the 70s. (2) Reggae, Dancehall, Hip Hop and Reggaeton artist from Panama

Mr. Fox (1): In 1970, folk musicians Bob Pegg and his wife Carole Pegg (AKA Carolanne Pegg), who had released albums as a duo (Bob and Carole Pegg), decided to form a band inspired by the folk-rock style of Fairport Convention. They recruited Alan Eden (drums), Barry Lyons (electric bass), Andrew Massey (cello), and John Myatt (woodwinds). <a href=""https://www.last.fm/music/Mr.+Fox"">Read more on Last.fm</a>","Ashley Hutchings, Shirley Collins & The Albion Country Band, Dando Shaft, Albion Country Band, The Young Tradition"
Benjamín Amadeo,157313,15442,"Buenos Aires, Argentina
Benjamín Amadeo (Buenos Aires, 22 de abril de 1984) es un actor argentino. Su primera participación en la televisión fue en la serie 1000 millones, pero su salto a la fama fue gracias al papel de Teo en la serie televisiva Casi ángeles. <a href=""https://www.last.fm/music/Benjam%C3%ADn+Amadeo"">Read more on Last.fm</a>","Natalie Perez, Ella es Tan Cargosa, Paz Carrara, Adrián Berra, Oriana Sabatini"
Sharktank,344126,37350," <a href=""https://www.last.fm/music/Sharktank"">Read more on Last.fm</a>","My Ugly Clementine, BEACHPEOPLE, Cari Cari, Endless Wellness, YUKNO"
Marama,876722,50740,"marama - drum, gitarre, dudelsack, akkordeon, bass, perkussion, electronic beats. alles zusammen mischen, 7x schütteln und fertig. <a href=""https://www.last.fm/music/Marama"">Read more on Last.fm</a>","Rombai, MANO ARRIBA, Ráfaga, La T y la M, Los Palmeras"
Lusia Chebotina,166029,10522,"Людмила Чеботина родилась в Петропавловске-Камчатском 26 апреля 1997 года. Проживает в Москве.

Профессионально училась вокалу, а также сама его преподаёт. Согласно профилю певицы на сайте телеканала «Музыка Первого», она «окончила Государственный <a href=""https://www.last.fm/music/Lusia+Chebotina"">Read more on Last.fm</a>","Klava Koka, Mari Kraimbrery, Artem Kacher, Yulianna Karaulova, Anet Sai"
space x,240857,14988," <a href=""https://www.last.fm/music/Space+X"">Read more on Last.fm</a>","Bomb比尔, In-k, 政学Zed-X, KeyKey, 大泫"
Yihuik苡慧,586585,29945," <a href=""https://www.last.fm/music/yihuik%E8%8B%A1%E6%85%A7"">Read more on Last.fm</a>","不是花火呀, 颜人中, 赵露思, 蓝心羽, 队长"
林達浪,46076,4226," <a href=""https://www.last.fm/music/%E6%9E%97%E9%81%94%E6%B5%AA"">Read more on Last.fm</a>","胡期皓, 李润祺, 秦海清, Zyboy忠宇, Joysaaaa"
大籽,198499,17497," <a href=""https://www.last.fm/music/%E5%A4%A7%E7%B1%BD"">Read more on Last.fm</a>","梦然, 任然, Ren Ran, 蓝心羽, 阿冗"
Soso Maness,909154,40569," <a href=""https://www.last.fm/music/Soso+Maness"">Read more on Last.fm</a>","Jul, Heuss L'enfoiré, Naps, Sofiane, Lacrim"
Mujeva,54358,5122," <a href=""https://www.last.fm/music/Mujeva"">Read more on Last.fm</a>","Ханна, Тайпан, Ольга Серябкина, Ольга Бузова, Мохито"
Bonny Lovy,44813,5069," <a href=""https://www.last.fm/music/Bonny+Lovy"">Read more on Last.fm</a>","Chila Jatun, Esther Marisol, Cruz Santa, Horizontes, Pasión Andina"
陈子晴,78151,8919," <a href=""https://www.last.fm/music/%E9%99%88%E5%AD%90%E6%99%B4"">Read more on Last.fm</a>","KeyKey, In-k, 赵乃吉, Bomb比尔, Daven Wu"
