Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
STARSET,19228779,413208,"Starset are an American alternative rock band formed in 2013 in Columbus, Ohio, by lead vocalist and Downplay former member Dustin Bates

The current lineup consistst of: Dustin Bates (lead vocals, keyboards, piano, synths and guitars), Ron DeChant (bass, keyboards and backing vocals), Brock Richards (guitars and backing vocals) and Adam Gilbert (drums and percussion).

They released their debut studio album, Transmissions, in 2014 with the label Razor & Tie, followed by a second studio album, Vessels, in 2017. <a href=""https://www.last.fm/music/Starset"">Read more on Last.fm</a>","Downplay, Red, Breaking Benjamin, Written by Wolves, Project Vela"
100 gecs,66957848,936043,"100 gecs is an experimental  hyperpop duo from St. Louis, Missouri. Formed in 2015, the duo comprises Dylan Brady and Laura Les, who also performs as osno1. 

Brady and Les, who lived in Kirkwood and Webster Groves respectively, initially crossed paths during high school at a rodeo. However, it was not until they reconnected at a house party in 2012 that they contemplated collaborating. Winter of 2015 marked their first foray into joint music production, with recording sessions taking place in Chicago. <a href=""https://www.last.fm/music/100+gecs"">Read more on Last.fm</a>","Dylan Brady, laura les, gupi, fraxiom, underscores"
Los Mesoneros,1575475,39724,"LOS MESONEROS es un quinteto integrado por Luis Jiménez (Guitarra y Voz líder), Andrés Belloso (Bajo), Andrés Sucre (Batería), Juan Ignacio Sucre (Guitarra Líder y Coros) y Carlos Sardi (Teclados). Inspirados en artistas como Radiohead, Incubus, Bloc Party y Muse, LOS MESONEROS se nutre también de la fusión del rock alternativo con sintetizadores, como elementos que añaden personalidad a su estilo propio, mezcla que se hace evidente en su primer sencillo promocional “NO PUEDES VER” <a href=""https://www.last.fm/music/Los+Mesoneros"">Read more on Last.fm</a>","VINILOVERSUS, Lagos, Okills, La Vida Bohème, Rawayana"
Fitz and The Tantrums,22052214,1536033,"Fitz and the Tantrums is an American soul group from Los Angeles, California. The group was founded in 2008 by Michael Fitzpatrick, who had begun writing soul music for a solo project on an old church organ he had purchased. He added friend James King to the group as an arranger and soon after expanded the band to a seven-piece, including several horns. Fitzpatrick shares the vocal duties with Noelle Scaggs. Other members include Joseph Karnes, Jeremy Ruzumna, and John Wicks. <a href=""https://www.last.fm/music/Fitz+and+the+Tantrums"">Read more on Last.fm</a>","American Authors, Saint Motel, AJR, Max Frost, Walk the Moon"
Big Thief,74720303,1191410,"Big Thief is an American indie rock band with folk roots. The band is based in Brooklyn, New York, and comprises Adrianne Lenker, Buck Meek, and James Krivchenia
Big Thief's music, rooted in the songs of Adrianne Lenker, paints in vivid tones ""the process of harnessing pain, loss, and love, while simultaneously letting go, looking into your own eyes through someone else's, and being okay with the inevitability of death,"" says Adrianne.

 Masterpiece <a href=""https://www.last.fm/music/Big+Thief"">Read more on Last.fm</a>","Adrianne Lenker, Buck Meek, Haley Heynderickx, Julia Jacklin, Lomelda"
Keane,91369353,3419580,"Keane is an English alternative rock band from East Sussex, formed in 1995. They met while at Tonbridge School together. The band currently comprises Tom Chaplin (lead vocals, electric/acoustic guitar), Tim Rice-Oxley (piano, synthesisers, bass guitar, backing vocals), Richard Hughes (drums, percussion, backing vocals), and Jesse Quin (bass guitar, acoustic/electric guitar, backing vocals). Their original line-up included founder and guitarist Dominic Scott, who left in 2001. <a href=""https://www.last.fm/music/Keane"">Read more on Last.fm</a>","Tom Chaplin, Travis, Mt. Desolation, Coldplay, Snow Patrol"
ASCA,1360535,65786,"ASCA (born September 5, 1996 in Aichi, Japan) is a Japanese pop singer signed to SACRA MUSIC. She was the 5th Anisong Grand Prix finalist with Suzuki Konomi. Under her given name Okura Asuka, she performed the second ending theme for the anime series Sakurasou no Pet na Kanojo. She changed her stage name to ASCA before releasing her major debut single ""KOE"". <a href=""https://www.last.fm/music/Asca"">Read more on Last.fm</a>",
Boyscott,3093036,317362,"Nashville, Tennessee, United States (2015 - present)

Boyscott was formed in 2015 by Scott Hermo Jr. (vocals, guitar, bass, synth), Emma Willer (aka Lazy Trail), and Conor Ryan. They released their debut album, Goose Bumps, on November 17, 2015. <a href=""https://www.last.fm/music/Boyscott"">Read more on Last.fm</a>","Jaded Juice Riders, The Buttertones, Hot Flash Heat Wave, Surf Curse, Vundabar"
The New Seekers,543309,101000,"The New Seekers were a British / German / Australian pop group, formed in 1969 by Keith Potger after the break-up of his group, The Seekers. The idea was that the New Seekers would appeal to the same market as the original Seekers, but their music had rock as well as folk influences.

The most familiar line-up included Eve Graham, Lyn Paul, Marty Kristian, Peter Doyle and Paul Layton. In addition to having several big hits, the group represented the UK in the Eurovision Song Contest 1972, finishing in second place. <a href=""https://www.last.fm/music/The+New+Seekers"">Read more on Last.fm</a>","The Fortunes, Love Affair, Freddie & The Dreamers, Brotherhood of Man, Alvin Stardust"
Catfish and the Bottlemen,31938330,766341,"Catfish and the Bottlemen is a British rock band, formed in Llandudno, Wales in 2007. Their debut album, The Balcony, reached number 10 in the UK Albums Chart and achieved Platinum status on 30 December 2016. The band have toured in the UK, Europe, North America, and Australia and have featured in a number of festivals including Glastonbury, Lollapalooza, Latitude, Reading and Leeds, Rock Werchter, T in the Park, Governors Ball, and Bonnaroo. They won their first Brit Award for British Breakthrough act on 24 February 2016. <a href=""https://www.last.fm/music/Catfish+and+The+Bottlemen"">Read more on Last.fm</a>",
Nick Cave & The Bad Seeds,89525005,1842402,"Nick Cave & the Bad Seeds are an Australian post-punk band formed in Melbourne in 1983 by vocalist Nick Cave, multi-instrumentalist Mick Harvey and guitarist Blixa Bargeld. The band has featured international personnel throughout its career and has released a lengthy series of studio albums and completed numerous international tours. 

The band presently consists of Cave, violinist and multi-instrumentalist Warren Ellis, bassist Martyn P. Casey (all from Australia) <a href=""https://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds"">Read more on Last.fm</a>",
Cruzando El Charco,245688,11256," <a href=""https://www.last.fm/music/Cruzando+el+Charco"">Read more on Last.fm</a>","Ella es Tan Cargosa, La Perra que los parió, Parientes, De La Gran Piñata, Indio Solari y Los Fundamentalistas del Aire Acondicionado"
Foals,95691328,1932836,"Foals is a rock band which formed in Oxford, England in 2005.  The band consists of Yannis Philippakis (vocals, guitar), Jimmy Smith (guitar), Walter Gervers (bass) and Jack Bevan (drums). The band has released seven albums: ""Antidotes"" (2008), ""Total Life Forever"" (2010), ""Holy Fire"" (2013), ""What Went Down"" (2015), ""Everything Not Saved Will Be Lost, Pt. 1"" (2019) , ""Everything Not Saved Will Be Lost, Pt. 2"" (2019), and ""Life is Yours"" (2022). In January 2018, it was announced that Walter Gervers (bass) was leaving the band. <a href=""https://www.last.fm/music/Foals"">Read more on Last.fm</a>","The Maccabees, Bombay Bicycle Club, Editors, White Lies, Everything Everything"
Tame Impala,281379086,3360686,"Tame Impala is a psychedelic rock band of Australian musician Kevin Parker, who writes, records, produces, and performs. As a touring act, Tame Impala consists of Parker (guitar, vocals), Dominic Simper (guitar, synthesiser), Jay Watson (synthesiser, vocals, guitar), Cam Avery (bass guitar, vocals), and Julien Barbagallo (drums, vocals). Many of the band members, including Parker, are collaborators with fellow Australian psychedelic rock band Pond. <a href=""https://www.last.fm/music/Tame+Impala"">Read more on Last.fm</a>","Pond, Melody's Echo Chamber, Gum, Temples, The Holydrug Couple"
Thomas Rhett,11465755,489187,"Thomas Rhett Akins, Jr. (born in Valdosta, Georgia) is an American country music singer known professionally as Thomas Rhett. He is the son of singer-songwriter Rhett Akins.[1]
Here is some background information on Thomas Rhett from the Something To Do With My Hands Songfacts. Thomas Rhett grew up in the music industry by means of his singer-songwriter father Rhett Akins. Whilst studying business and communications at Lipscomb University in Nashville, Rhett formed a cover band and began playing frat parties and other gigs they could get. <a href=""https://www.last.fm/music/Thomas+Rhett"">Read more on Last.fm</a>","Jordan Davis, Dustin Lynch, Cole Swindell, Old Dominion, Florida Georgia Line"
Walk off the Earth,6722689,490629,"Walk Off the Earth is an indie rock band which formed in Burlington, Ontario, Canada in 2006. The band consists of Gianni Luminati, Joel Cassady, Sarah Blackwood, (former) Mike Taylor and (former) Ryan Marshall. Blackwood was also a member of the psychobilly band The Creepshow.

The band has gained success around the world by making low-budget music videos of covers and originals and built their fan base independently with no help from record labels, booking agents or management. <a href=""https://www.last.fm/music/Walk+Off+the+Earth"">Read more on Last.fm</a>","American Authors, Arkells, Tyler Shaw, Young Rising Sons, BANNERS"
The Marcus King Band,974198,81472,"The Marcus King Band is an American blues rock band led by singer, songwriter, and guitarist Marcus King.

Call him the next Duane Allman or Jimi Hendrix, but whatever you do, don’t call Marcus King a child prodigy. Sure, the guitar shredder’s talent shimmers with the same resonance as his heroes, but he’s been wielding an axe since he learned to talk – he started playing when he was 2.

King was born into music, gifted with steel-string DNA and two generations of men before him who nurtured the boy’s musical nature. <a href=""https://www.last.fm/music/The+Marcus+King+Band"">Read more on Last.fm</a>","Marcus King, Tedeschi Trucks Band, The Derek Trucks Band, North Mississippi Allstars, JJ Grey & Mofro"
Mark Morton,699268,77607,"There are several artists named Mark Morton:

1) Mark Morton is one of the two guitarists of the American heavy metal band Lamb of God.

2) Mark Morton is an American classical double bass player, principal double bassist for the Lubbock Symphony Orchestra and formerly the principal double bass player for the Columbus Symphony Orchestra. <a href=""https://www.last.fm/music/Mark+Morton"">Read more on Last.fm</a>","Tremonti, Adrenaline Mob, Hellyeah, Bad Wolves, Lamb of God"
Surfistas Del Sistema,455494,32890," <a href=""https://www.last.fm/music/Surfistas+del+Sistema"">Read more on Last.fm</a>","Rayos Láser, Bandalos Chinos, El Zar, Indios, 1915"
Ximena Sariñana,3061017,177926,"Ximena Sariñana Rivera (born on October 29, 1985 in Guadalajara, Mexico) is a Grammy Award and Latin Grammy nominated Mexican singer-songwriter and actress. Sariñana's musical career was launched in 2008 with the release of her first studio album Mediocre, an adult contemporary pop-rock/vocal jazz album that has been critically acclaimed and nominated for various awards, including two nominations in the Latin Grammy Awards of 2008.

Her first solo album  Mediocre was released on February 12, 2008 by Warner Music Group. <a href=""https://www.last.fm/music/+noredirect/Ximena+Sari%C3%B1ana"">Read more on Last.fm</a>","Natalia Lafourcade, Julieta Venegas, Tessa Ia, Playa Limbo, Carla Morrison"
Sticky Fingers,15870903,411992,"The 5 piece from Sydney's inner west is delivering a refreshing vibe to the Australian music scene, they began when drummer Beaks and bass player Paddy, met busker Dylan, one night outside the Coopers Arms hotel in Newtown.

Dylan, fresh from N.Z. and not yet 18, was on the streets with his guitar and crack pipe busking for coin outside the pub. “We met him,” Paddy says, “when the Coopers Arms bouncer started hassling us to give the dude money"". <a href=""https://www.last.fm/music/Sticky+Fingers"">Read more on Last.fm</a>","Mako Road, Ocean Alley, Lime Cordiale, Spacey Jane, The Terrys"
MISSIO,8436214,407127,"Matthew Brue. 

Missio: (miss-ee-o) - Latin for ""mission."" Inspired by the words ""All are from the dust, and to the dust all return,"" Missio seeks purity in broken things through minimalistic songwriting. 

The art of creating has become something that continues to show him that beauty and purity are found in all aspects of life. In times of emotional distress, he write songs. In times of invigorating happiness, he write songs. There has become an <a href=""https://www.last.fm/music/MISSIO"">Read more on Last.fm</a>","8 Graves, Adam Jensen, Bohnes, The People's Thieves, Arrested Youth"
Of Monsters and Men,62554086,2034100,"Of Monsters and Men is an indie folk band which formed in 2010 in Keflavík/Garðabær, Iceland. The band consists of Nanna Bryndís Hilmarsdóttir (vocals, guitar), Ragnar Þórhallsson (vocals, guitar), Brynjar Leifsson (guitar), Kristján Páll Kristjánsson (bass), Arnar Rósenkranz Hilmarsson (drums) and the former member  Árni Guðjónsson (keyboards, accordion), who left the band in 2012. The band released their debut album ""My Head Is an Animal"" in September 2011. <a href=""https://www.last.fm/music/Of+Monsters+and+Men"">Read more on Last.fm</a>","Nanna, Mumford & Sons, The Lumineers, Vance Joy, The Head and the Heart"
O Terno,10250095,270862,"For the first six years, the band was made up of Tim Bernardes (vocals and guitar), Guilherme ‘Peixe’ (bass) and Victor Chaves (drums). The trio has been active since 2006, when they started covering their main influences, such as Mutantes, the Beatles and the Kinks.

In 2012 the band released their first album: ‘66’ The work has a humorous, somewhat ironic rock tone and features partnerships with Maurício Pereira and Marcelo Jeneci, who contributes by playing a hammond organ from the 1960s on the disc. <a href=""https://www.last.fm/music/O+Terno"">Read more on Last.fm</a>","Tim Bernardes, Cidade Dormitório, Phill Veras, Cícero, Rubel"
Mitú,577678,38222,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","Bomba Estéreo, Systema Solar, Crudo Means Raw, Ela Minus, N. Hardem"
Crobot,758575,59997,"Band from Pottsville, USA; active since 2011. The sounds of dirt pouring out of old souls that were sold for the sake of rock n' roll. Space rock n' roll. Whatever it is, you can't help but to feel your ears being dipped in nostalgia then taken to another dimension and back again with the songs of Crobot. A quartet from central Pennsylvania, conjure up sonic ghosts and stories that seemingly were interpreted from crop circles.

For fans of Clutch <a href=""https://www.last.fm/music/Crobot"">Read more on Last.fm</a>","Goodbye June, Dirty Honey, The Dust Coda, Monster Truck, Kill Devil Hill"
The Animals,22540638,2084560,"The Animals was a British rock band of the 1960s, formed in Newcastle. They were part of the British Invasion, being one of the most popular bands of their era. Known for their gritty, raw, bluesy sound and hard-voiced frontman Eric Burdon, as exemplified by their signature songs House of the Rising Sun and Don't Let Me Be Misunderstood, the band underwent numerous personnel changes, while influencing the later heavy metal music with the riffs of their rock songs such as We Gotta Get Out Of This Place and It's my Life. <a href=""https://www.last.fm/music/The+Animals"">Read more on Last.fm</a>","Eric Burdon & The Animals, The Yardbirds, Steppenwolf, Them, The Spencer Davis Group"
Balthazar,9797041,326866,"With hints of neo-psychedelia, electro-pop, and garage punk in their catchy, snarling indie rock, Belgian group Balthazar formed in Kortrijk in 2004. Their second album, Rats, went all the way to number one in Belgium in 2012.

After starting Balthazar as teenagers, the lineup of Maarten Devoldere (lead vocals/guitar/keyboards), Jinte Deprez (guitar/vocals), and Patricia Vanneste (violin/keyboards/vocals) won a national youth talent competition in 2005 with the song ""Lost and Found. <a href=""https://www.last.fm/music/Balthazar"">Read more on Last.fm</a>","Warhaus, J. Bernardt, Absynthe Minded, Girls in Hawaii, dEUS"
Palace,9982120,508779,"There are at least four artists/bands called Palace.

1. Palace is an indie rock three-piece from London, United Kingdom. Line-up: Leo Wyndham, Matt Hodges and Rupert Turner. Their music has been compared to bands such as Grizzly Bear, Fleet Foxes and Bon Iver. They released three full-length albums thus far:  So Long Forever (2016), Life After (2019) and Shoals (2022).

2. Palace is one of the many monikers that has been used at one point or another by American singer and songwriter, Will Oldham (1970). <a href=""https://www.last.fm/music/Palace"">Read more on Last.fm</a>","Dope Lemon, Local Natives, Mt. Joy, George Ogilvie, Ben Howard"
Local Natives,34667265,1309082,"Local Natives (formerly cavil at rest) is an indie rock band based in Silver Lake, Los Angeles, CA, United States.
After the three founding members originally met in high school, a bassist and a drummer were found, and they all moved to a house in Silver Lake in 2008 to record their album. Their debut album as Local Natives, ""Gorilla Manor"", was released in the UK on November 2nd, 2009, and saw a US release date of February 16th, 2010. The band's <a href=""https://www.last.fm/music/Local+Natives"">Read more on Last.fm</a>","Broken Bells, Young the Giant, Grouplove, Bombay Bicycle Club, Palace"
Stereophonics,45873397,1921279,"Stereophonics is a Welsh rock band formed in 1992 in the village of Cwmaman in the Cynon Valley, Wales. The band consists of Kelly Jones (lead vocals, lead guitar, keyboards), Richard Jones (bass guitar, harmonica, backing vocals), Adam Zindani (rhythm guitar, backing vocals), Jamie Morrison (drums, percussion) and touring member Tony Kirkham (keyboards). The group previously included Stuart Cable (1992–2003) and then Javier Weyler (2004–2012) on drums. <a href=""https://www.last.fm/music/Stereophonics"">Read more on Last.fm</a>","Kelly Jones, Richard Ashcroft, Ocean Colour Scene, Noel Gallagher's High Flying Birds, Razorlight"
Simón Díaz,401836,37059,"Simón Díaz (August 8, 1928 – February 19, 2014), was a Venezuelan folk singer and composer. His work celebrates the traditions of one of Venezuela's most popular music genres; 'música llanera'. He is considered one of the most important Latin American musicians and his songs have been covered by artists of the size of the Gipsy Kings, Devendra Banhart, Gilberto Santa Rosa, Plácido Domingo, Celia Cruz, Rubén Blades, and Juan Gabriel among others. Among his most popular songs are Caballo Viejo, Luna de Margarita, El Becerrito, etc. <a href=""https://www.last.fm/music/+noredirect/Sim%C3%B3n+D%C3%ADaz"">Read more on Last.fm</a>","VINILOVERSUS, La Vida Bohème, Desorden Público, Caramelos de Cianuro, Rawayana"
Train,44188082,2890808,"Train is an American pop rock band from San Francisco that was formed in 1993. Since 2024, the band consists of Pat Monahan (lead vocals), Taylor Locke (guitar, vocals), Hector Maldonado (bass, vocals), Jerry Becker (keyboards, guitar), and Matt Musty (drums).

With a lineup that included original members Monahan, Rob Hotchkiss, Jimmy Stafford, Scott Underwood, and Charlie Colin, the band achieved mainstream success with their debut album Train. The album was released in 1998 with the hit ""Meet Virginia"". <a href=""https://www.last.fm/music/Train"">Read more on Last.fm</a>","Matchbox Twenty, Rob Thomas, Five for Fighting, Goo Goo Dolls, The Script"
Corella,1085159,83766,"Corella are an indie rock quartet from Manchester, United Kingdom, made up of Joel Smith (vocals), Ben Henderson (bass, vocals), Jack Taylor (guitar) and James Fawcett (drums). The band have released a steady stream of singles since 2016. <a href=""https://www.last.fm/music/corella"">Read more on Last.fm</a>","The K's, Luna Bay, Vistas, Sea Girls, The Snuts"
The Afters,2994417,211551,"The Afters is a rock band founded by Joshua Havens and Matt Fuqua, who are both vocalists and guitarists in the band. Havens and Fuqua first worked together in a Starbucks coffee shop in Mesquite, Texas, where they played for customers, before deciding to form a band. Their original name was Blisse. The Afters are currently promoted through INO records and Columbia Records. The band's sophomore project was released in 2008. Past members include Brad Wigg on guitar and bass guitar, and Marc Dodd on drums <a href=""https://www.last.fm/music/The+Afters"">Read more on Last.fm</a>","Jeremy Camp, Tenth Avenue North, Sanctus Real, Matthew West, MercyMe"
Leeland,2675174,174848,"Leeland is a Christian pop and rock band hailing from Baytown, TX. The lead singer, Leeland Mooring, was only 17 during the recording of their debut album. Even though their songs have strong Christian lyrics, their melodically-driven sound also holds appeal for those who don't share their faith.

Band members

* Leeland Mooring - Lead vocal, Guitars 
* Casey Moore - lead guitar, background vocals 

Touring musicians

Josias Badillo - bass guitar <a href=""https://www.last.fm/music/Leeland"">Read more on Last.fm</a>","Chris Tomlin, Elevation Worship, Phil Wickham, Hillsong Worship, Matt Redman"
Part Time,5766948,318930,"Captivating bedroom pop with a karaoke video/soft haze filter on it that collapses the textural dimensions of music to an appealing, shiny finish. The music of Part Time owes a debt to ‘80s movie scores, neon lights, fog machines and nightlife, a generous sampling of New Romance in a post-capitalist world, its heart going out to everyone who hasn’t abandoned their silk shirts in favor of more practical attire. The home studio shell and canned dynamics of Part Time quickly dissolve to reveal some serious jammers in the midst <a href=""https://www.last.fm/music/Part+Time"">Read more on Last.fm</a>","Ariel Pink's Haunted Graffiti, Ariel Pink, John Maus, Geneva Jacuzzi, Blue Material"
Korn,224635333,3594860,"Korn (stylized as KoЯn, or occasionally KoRn) are an American nu metal band from Bakersfield, California, formed in 1993. The band is notable for pioneering the nu metal genre and bringing it into the mainstream. Originally formed in 1993 by three members of the band  L.A.P.D., Korn's current lineup features founding members James ""Munky"" Shaffer (guitar); Reginald ""Fieldy"" Arvizu (bass); Brian ""Head"" Welch (guitar, backing vocals); and Jonathan Davis (lead vocals <a href=""https://www.last.fm/music/Korn"">Read more on Last.fm</a>","Slipknot, Limp Bizkit, Coal Chamber, Jonathan Davis, System of a Down"
No Vacation,12718786,737120,"No Vacation is a indie pop band based in San Francisco, U.S.A.. The band started as a dorm room collaboration between Basil Saleh and Sabrina Mai before evolving into a band. After a year long hiatus, No Vacation has re-emerged from hibernation. As they quietly work on their next album and transition out of San Francisco, No Vacation will bring their novice sounds to New York City, U.S.A.. The majority of the still untitled album was written during No Vacation’s break up and expresses the feelings of belongingness <a href=""https://www.last.fm/music/no+vacation"">Read more on Last.fm</a>",
cinema staff,2581600,110732,"Cinema Staff is a four-piece band formed in Gifu-ken, Japan. Since their formation in 2003, the band has produced a number of independent releases, before going major in June 2012 when their EP “into the green” was released through Pony Canyon. Before this, the band's releases were handled by Zankyo Record. The band’s sound has been influenced by a number of genres, including alternative rock and pop music. In 2012 they had their major debut with ""into the green"". <a href=""https://www.last.fm/music/cinema+staff"">Read more on Last.fm</a>","Linked Horizon, ストレイテナー, People In The Box, KEYTALK, 9mm Parabellum Bullet"
